title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
2 BHK  House for Sale in Kesnand Road Pune,₹83 Lac,1600 sqft,https://www.magicbricks.com/prayag-dham-kesnand-road-pune-pdpid-4d4235303035353332,1,3,2025-08-10 19:21:46.155150,Updated today,2025-08-10 12:00:00.000000,3,4,2 BHK,Unfurnished,1 out of 2,,Prayag Dham,Ready to Move,West,,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Loni Kalbhor Pune,₹50 Lac,820 sqft,https://www.magicbricks.com/tara-city-loni-kalbhor-pune-pdpid-4d4235303138333234,1,5,2025-08-10 19:21:46.157137,Updated today,2025-08-10 12:00:00.000000,2,3,2 BHK,Unfurnished,3 out of 9,,Tara City,Ready to Move,,,,Resale,Garden/Park
2 BHK Apartment for Sale in Moshi Pune,₹47.1 Lac,650 sqft,https://www.magicbricks.com/11k-county-moshi-pune-pdpid-4d4235303233363335,1,8,2025-08-10 19:21:46.159707,Updated 16 hours ago,2025-08-10 03:21:46.158836,2,2,2 BHK,Semi-Furnished,2 out of 8,,11K County,Ready to Move,,,,Resale,
2 BHK Apartment for Sale in Hadapsar Pune,₹55 Lac,1100 sqft,https://www.magicbricks.com/kohinoor-ambrosia-flat-hadapsar-pune-pdpid-4d4235333634323537,1,9,2025-08-10 19:21:46.161518,Updated 16 hours ago,2025-08-10 03:21:46.160293,2,2,2 BHK,Unfurnished,8 out of 8,,Kohinoor Ambrosia Flat,Ready to Move,West,,,Resale,"Garden/Park, Main Road"
2 BHK Apartment for Sale in NIBM Annexe Area Pune,₹62 Lac,900 sqft,https://www.magicbricks.com/vasupujya-neco-beaumont-nibm-annexe-pune-pdpid-4d4235313933313637,1,10,2025-08-10 19:21:46.163257,Updated 16 hours ago,2025-08-10 03:21:46.162096,2,,2 BHK,Semi-Furnished,1 out of 1,,Vasupujya Neco Beaumont,Ready to Move,East,,Freehold,Resale,Garden/Park
3 BHK Apartment for Sale in Ghotawade Phata Pune,₹75 Lac,900 sqft,https://www.magicbricks.com/nakshatra-angan-ghotawade-phata-pune-pdpid-4d4235303733373137,1,11,2025-08-10 19:21:46.164924,Updated 16 hours ago,2025-08-10 03:21:46.163880,3,2,3 BHK,Furnished,1 out of 12,,Nakshatra Angan,Ready to Move,East,,Freehold,Resale,Garden/Park
1 BHK Apartment for Sale in Manjari Khurd Pune,₹50 Lac,428 sqft,https://www.magicbricks.com/vtp-cygnus-manjari-khurd-pune-pdpid-4d4235333435393733,1,12,2025-08-10 19:21:46.166573,Updated 16 hours ago,2025-08-10 03:21:46.165520,1,1,1 BHK,Unfurnished,7 out of 22,,VTP Cygnus,Ready to Move,East,1 Covered,Freehold,Resale,Garden/Park
1 BHK Apartment for Sale in Wagholi Pune,₹32 Lac,490 sqft,https://www.magicbricks.com/sukhwani-scarlet-wagholi-pune-pdpid-4d4235303032333131,1,13,2025-08-10 19:21:46.168057,Updated 16 hours ago,2025-08-10 03:21:46.167065,1,1,1 BHK,Unfurnished,3 out of 9,,Sukhwani Scarlet,Ready to Move,,,,Resale,
1 BHK Apartment for Sale in Charholi BK Pune,₹30.3 Lac,495 sqft,https://www.magicbricks.com/tanish-orchid-phase-ii-charholi-budruk-pune-pdpid-4d4235303835313835,1,14,2025-08-10 19:21:46.169608,Updated 15 hours ago,2025-08-10 04:21:46.168636,1,1,1 BHK,Unfurnished,7 out of 11,,Tanish Orchid Phase II,Ready to Move,East,,Freehold,Resale,
2 BHK Apartment for Sale in Rahatani Pune,₹75 Lac,750 sqft,https://www.magicbricks.com/divine-dew-rahatni-pune-pdpid-4d4235313138343939,1,16,2025-08-10 19:21:46.171425,Updated 15 hours ago,2025-08-10 04:21:46.170597,2,1,2 BHK,Furnished,6 out of 10,,Divine Dew,Ready to Move,,,,Resale,
