title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
2 BHK Apartment for Sale in Ashok Vihar New Delhi,₹80 Lac,800 sqft,https://www.magicbricks.com/sadbhawana-society-ashok-vihar-new-delhi-pdpid-4d4235313639323235,1,2,2025-08-10 19:20:33.997802,Updated today,2025-08-10 12:00:00.000000,1,1,2 BHK,Semi-Furnished,1 out of 4,,Sadbhawana Society,Ready to Move,South - East,1 Open,Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Hauz Khas New Delhi,₹5.25 Cr,2000 sqft,https://www.magicbricks.com/rwa-hauz-khas-hauz-khas-new-delhi-pdpid-4d4235323037373531,1,5,2025-08-10 19:20:34.000555,Updated today,2025-08-10 12:00:00.000000,3,2,3 BHK,Furnished,1 out of 3,,Rwa Hauz Khas,Ready to Move,North - East,,Freehold,Resale,Main Road
"3 BHK Apartment for Sale in Sukhdev Vihar, Okhla New Delhi",₹1.39 Cr,1200 sqft,https://www.magicbricks.com/sfs-flats-sukhdev-vihar-new-delhi-pdpid-4d4235313730333639,1,18,2025-08-10 19:20:34.009647,Updated 16 hours ago,2025-08-10 03:20:34.008558,2,2,3 BHK,Unfurnished,Ground out of 4,,SFS Flats,Ready to Move,North - East,"1 Covered,",Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in West Shalimar Bagh New Delhi,₹1.25 Cr,900 sqft,https://www.magicbricks.com/sheesh-mahal-apartment-shalimar-bagh-west-new-delhi-pdpid-4d4235303130373132,1,29,2025-08-10 19:20:34.016970,Updated 14 hours ago,2025-08-10 05:20:34.015973,1,1,2 BHK,Furnished,3 out of 3,,Sheesh Mahal Apartment,Ready to Move,North,1 Open,Freehold,Resale,"Garden/Park, Main Road"
4 BHK Apartment for Sale in Panchsheel Park New Delhi,₹11.50 Cr,3300 sqft,https://www.magicbricks.com/panchsheel-enclave-panchsheel-park-new-delhi-pdpid-4d4235313733363333,2,7,2025-08-10 19:20:38.816546,Updated 14 hours ago,2025-08-10 05:20:38.815315,3,1,4 BHK,Furnished,1 out of 3,,Panchsheel Enclave,Ready to Move,East,,Freehold,Resale,Main Road
4 BHK Apartment for Sale in Sector 19B Dwarka New Delhi,₹7.40 Cr,3120 sqft,https://www.magicbricks.com/garur-golf-island-dwarka-sector-19b-new-delhi-pdpid-4d4235343038373739,2,10,2025-08-10 19:20:38.819314,Updated 14 hours ago,2025-08-10 05:20:38.818372,6,3,4 BHK,Furnished,8 out of 12,,Garur Golf Island,,South - East,,Freehold,Resale,Garden/Park
3 BHK Apartment for Sale in Alaknanda New Delhi,₹3 Cr,1100 sqft,https://www.magicbricks.com/dda-aravali-apartments-alaknanda-new-delhi-pdpid-4d4235303130393236,2,12,2025-08-10 19:20:38.821890,Updated 14 hours ago,2025-08-10 05:20:38.820631,2,2,3 BHK,Semi-Furnished,2 out of 3,,DDA Aravali Apartments,Ready to Move,South,1 Open,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Shahdara New Delhi,₹78 Lac,600 sqft,https://www.magicbricks.com/dda-rps-flats-shahdara-new-delhi-pdpid-4d4235303738353434,2,17,2025-08-10 19:20:38.826462,Updated 14 hours ago,2025-08-10 05:20:38.825299,1,1,2 BHK,Semi-Furnished,1 out of 4,,DDA RPS Flats,Ready to Move,East,1 Open,Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Vasundhara Enclave New Delhi,₹2 Cr,1250 sqft,https://www.magicbricks.com/capital-apartment-vasundhara-enclave-new-delhi-pdpid-4d4235303735313232,3,1,2025-08-10 19:20:42.978611,Updated today,2025-08-10 12:00:00.000000,3,1,3 BHK,Semi-Furnished,5 out of 7,,Capital Apartment,Ready to Move,East,1 Covered,Freehold,Resale,Main Road
2 BHK Apartment for Sale in Malviya Nagar New Delhi,₹1.20 Cr,100 sqft,https://www.magicbricks.com/rwa-malviya-nagar-malviya-nagar-new-delhi-pdpid-4d4235323037373637,3,2,2025-08-10 19:20:42.980405,Updated today,2025-08-10 12:00:00.000000,2,2,2 BHK,Furnished,3 out of 3,,RWA Malviya Nagar,Ready to Move,East,,Freehold,Resale,
3 BHK Builder Floor for Sale in Pitam Pura New Delhi,₹2.99 Cr,2250 sqft,https://www.magicbricks.com/shubh-enclave-pitampura-new-delhi-pdpid-4d4235303835373036,3,8,2025-08-10 19:20:42.985618,Updated today,2025-08-10 12:00:00.000000,3,1,3 BHK,Semi-Furnished,Ground out of 3,,Shubh Enclave,Ready to Move,East,2 Open,Freehold,Resale,
4 BHK Apartment for Sale in Sector 19 Dwarka New Delhi,₹4 Cr,2150 sqft,https://www.magicbricks.com/lords-apartments-dwarka-sector-19-new-delhi-pdpid-4d4235303130393337,3,14,2025-08-10 19:20:42.990271,Updated 14 hours ago,2025-08-10 05:20:42.989176,4,4,4 BHK,Semi-Furnished,1 out of 10,,Lords Apartments,Ready to Move,Read more,"2 Covered,",,Resale,Main Road
3 BHK Builder Floor for Sale in Burari New Delhi,₹49 Lac,900 sqft,https://www.magicbricks.com/burari-santan-nagar-burari-new-delhi-pdpid-4d4235313731383739,3,17,2025-08-10 19:20:42.993216,Updated 14 hours ago,2025-08-10 05:20:42.992121,2,1,3 BHK,Semi-Furnished,2 out of 4,,Burari Santan Nagar,Ready to Move,North,"1 Covered,",Co-operative Society,Resale,Main Road
4 BHK Builder Floor for Sale in Block G Green Park Extension New Delhi,₹20 Cr,2900 sqft,https://www.magicbricks.com/green-park-rwa-block-g-green-park-extension-new-delhi-pdpid-4d4235323135313435,3,19,2025-08-10 19:20:42.995481,Updated 14 hours ago,2025-08-10 05:20:42.994413,5,6,4 BHK,Furnished,2 out of 4,,Green Park RWA,Ready to Move,North - East,"3 Covered,",Freehold,Resale,Main Road
4 BHK Apartment for Sale in Sector 13 Rohini New Delhi,₹2.10 Cr,1250 sqft,https://www.magicbricks.com/agroha-kunj-apartment-rohini-sector-13-new-delhi-pdpid-4d4235303131323631,3,27,2025-08-10 19:20:43.001963,Updated 14 hours ago,2025-08-10 05:20:43.000958,3,1,4 BHK,Furnished,1 out of 4,,Agroha Kunj Apartment,Ready to Move,,,,Resale,
