title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
3 BHK Apartment for Sale in Sector 76 Noida,₹2.05 Cr,1455 sqft,https://www.magicbricks.com/skytech-matrott-sector-76-noida-pdpid-4d4235303137393933,1,1,2025-08-10 18:52:03.454929,Updated today,2025-08-10 12:00:00.000000,2,4,3 BHK,Furnished,11 out of 16,,Skytech Matrott,Ready to Move,East,,Leasehold,Resale,"Garden/Park, Pool, Main Road"
3 BHK Apartment for Sale in Sector 43 Noida,₹3.50 Cr,1545 sqft,https://www.magicbricks.com/godrej-woods-sector-43-noida-pdpid-4d4235323330313731,1,2,2025-08-10 18:52:03.456399,Updated 16 hours ago,2025-08-10 02:52:03.455493,2,4,3 BHK,Unfurnished,23 out of 28,,Godrej Woods,Ready to Move,,,,Resale,Main Road
"3 BHK Apartment for Sale in Sector 134, Noida Express Way Noida",₹1.05 Cr,1280 sqft,https://www.magicbricks.com/jaypee-kosmos-heights-sector-134-noida-pdpid-4d4235303130313235,1,6,2025-08-10 18:52:03.460064,Updated 14 hours ago,2025-08-10 04:52:03.459026,3,2,3 BHK,Unfurnished,12 out of 18,,Jaypee Kosmos Heights,Ready to Move,North - East,,Co-operative Society,Resale,"Garden/Park, Pool, Main Road"
3 BHK Apartment for Sale in Sector 46 Noida,₹1.50 Cr,1750 sqft,https://www.magicbricks.com/gardenia-glory-sector-46-noida-pdpid-4d4235303030393535,1,7,2025-08-10 18:52:03.461683,Updated 14 hours ago,2025-08-10 04:52:03.460642,4,3,3 BHK,Semi-Furnished,6 out of 19,,Gardenia Glory,Ready to Move,North - East,,Leasehold,Resale,"Garden/Park, Pool, Main Road"
3 BHK Apartment for Sale in Sector 75 Noida,₹1.90 Cr,1750 sqft,https://www.magicbricks.com/aims-max-gardenia-golf-city-sector-75-noida-pdpid-4d4235303039383531,1,8,2025-08-10 18:52:03.464436,Updated 14 hours ago,2025-08-10 04:52:03.462693,3,,3 BHK,Furnished,12 out of 13,,Aims Max Gardenia Golf City,Ready to Move,,1 Covered,,Resale,
"2 BHK Apartment for Sale in Sector 79, Dadri Road Noida",₹1.95 Cr,1385 sqft,https://www.magicbricks.com/elite-golf-greens-sector-79-noida-pdpid-4d4235303938343635,1,9,2025-08-10 18:52:03.467489,Updated today,2025-08-10 12:00:00.000000,2,,2 BHK,Semi-Furnished,14 out of 20,,Elite Golf Greens,Ready to Move,North - West,1 Open,Freehold,Resale,"Garden/Park, Main Road"
2 BHK Apartment for Sale in Sector 76 Noida,₹94 Lac,567 sqft,https://www.magicbricks.com/sethi-max-royal-sector-76-noida-pdpid-4d4235303130333836,1,10,2025-08-10 18:52:03.471269,Updated today,2025-08-10 12:00:00.000000,2,3,2 BHK,Semi-Furnished,3 out of 18,,Sethi Max Royal,Ready to Move,East,1 Open,Leasehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Prateek Wisteria Noida,₹1.80 Cr,1385 sqft,https://www.magicbricks.com/prateek-wisteria-sector-77-noida-pdpid-4d4235303139353038,1,12,2025-08-10 18:52:03.473559,Updated today,2025-08-10 12:00:00.000000,2,4,3 BHK,Semi-Furnished,20 out of 20,,Prateek Wisteria,Ready to Move,North - East,1 Open,Freehold,Resale,"Garden/Park, Pool, Main Road"
3 BHK Apartment for Sale in Noida Extension Noida,₹1.15 Cr,1100 sqft,https://www.magicbricks.com/nirala-aspire-noida-extension-noida-pdpid-4d4235303639393936,1,13,2025-08-10 18:52:03.475785,Updated today,2025-08-10 12:00:00.000000,2,3,3 BHK,Furnished,19 out of 20,,Nirala Aspire,Ready to Move,East,,Leasehold,Resale,Garden/Park
"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.58 Cr,827 sqft,https://www.magicbricks.com/eldeco-live-by-the-greens-sector-150-noida-pdpid-4d4235313139363239,1,14,2025-08-10 18:52:03.477431,Updated today,2025-08-10 12:00:00.000000,2,4,3 BHK,Unfurnished,12 out of 22,,Eldeco Live By The Greens,,North - East,1 Covered,Freehold,Resale,Main Road
"4 BHK Apartment for Sale in Sector 151, Noida Express Way Noida",₹1.80 Cr,1855 sqft,https://www.magicbricks.com/jaypee-aman-sector-151-noida-pdpid-4d4235303231353036,1,15,2025-08-10 18:52:03.479282,Updated today,2025-08-10 12:00:00.000000,4,1,4 BHK,Furnished,14 out of 22,,Jaypee Aman,Ready to Move,East,2 Covered,Freehold,Resale,Main Road
1 BHK Apartment for Sale in Sector 74 Noida,₹44 Lac,535 sqft,https://www.magicbricks.com/supertech-capetown-sector-74-noida-pdpid-4d4235303137353133,1,16,2025-08-10 18:52:03.480579,Updated today,2025-08-10 12:00:00.000000,1,,1 BHK,Furnished,7 out of 40,,Supertech Capetown,Ready to Move,,,,Resale,
3 BHK Apartment for Sale in Sector 70 Noida,₹1.75 Cr,1564 sqft,https://www.magicbricks.com/pan-oasis-sector-70-noida-pdpid-4d4235303636303633,1,17,2025-08-10 18:52:03.482354,Updated 13 hours ago,2025-08-10 05:52:03.481219,2,2,3 BHK,Semi-Furnished,12 out of 21,,Pan Oasis,Ready to Move,North - East,,Leasehold,Resale,"Garden/Park, Pool, Main Road"
3 BHK Apartment for Sale in Sector 52 Noida,₹3.25 Cr,2245 sqft,https://www.magicbricks.com/antriksh-nature-sector-52-noida-pdpid-4d4235303039393139,1,21,2025-08-10 18:52:03.485952,Updated 13 hours ago,2025-08-10 05:52:03.484779,3,3,3 BHK,Semi-Furnished,Ground out of 16,,Antriksh Nature,Ready to Move,East,"1 Covered,",Leasehold,Resale,"Garden/Park, Pool, Main Road"
"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹4.14 Cr,2000 sqft,https://www.magicbricks.com/ats-pristine-sector-150-noida-pdpid-4d4235303233353335,1,22,2025-08-10 18:52:03.487960,Updated 13 hours ago,2025-08-10 05:52:03.486599,3,3,3 BHK,Semi-Furnished,12 out of 24,,ATS Pristine,Ready to Move,North - West,,Leasehold,Resale,"Garden/Park, Pool, Main Road"
3 BHK Apartment for Sale in Noida Extension Noida,₹1.75 Cr,1565 sqft,https://www.magicbricks.com/ace-divino-noida-extension-noida-pdpid-4d4235303835303737,1,27,2025-08-10 18:52:03.492985,Posted:   18 hours ago,2025-08-10 00:52:03.491696,3,3,3 BHK,Unfurnished,11 out of 22,,ACE Divino,Ready to Move,,,,Resale,
3 BHK Apartment for Sale in Sector 115 Noida,₹3.45 Cr,2304 sqft,https://www.magicbricks.com/ivory-county-sector-115-noida-pdpid-4d4235343137313831,1,28,2025-08-10 18:52:03.494801,Posted:   4 hours ago,2025-08-10 14:52:03.493666,3,4,3 BHK,Semi-Furnished,4 out of 4,,Ivory County,,,1 Covered,,Resale,
