title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
"2 BHK Apartment for Sale in Sector 95A, Pataudi Road Gurgaon",₹82 Lac,654 sqft,https://www.magicbricks.com/signature-the-roselia-sector-95a-gurgaon-pdpid-4d4235303937303835,1,1,2025-08-10 18:29:23.098831,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Phase 1 DLF Gurgaon,₹3 Cr,1800 sqft,https://www.magicbricks.com/dlf-city-plot-phase-1-dlf-phase-1-gurgaon-pdpid-4d4235303934333035,1,2,2025-08-10 18:29:23.099548,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Sector 2 Sohna Gurgaon,₹1.80 Cr,1465 sqft,https://www.magicbricks.com/lorven-ashiana-mulberry-sohna-sector-2-gurgaon-pdpid-4d4235303738383139,1,3,2025-08-10 18:29:23.100911,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Sector 33 Sohna Gurgaon,₹1.70 Cr,1385 sqft,https://www.magicbricks.com/godrej-nature-plus-sohna-sector-33-gurgaon-pdpid-4d4235313132333731,1,5,2025-08-10 18:29:23.103047,Updated 15 hours ago,2025-08-10 03:29:23.103007
"2 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",₹64 Lac,516 sqft,https://www.magicbricks.com/the-trisara-apex-our-homes-sector-37c-gurgaon-pdpid-4d4235303239383330,1,7,2025-08-10 18:29:23.104513,Updated today,2025-08-10 12:00:00.000000
2 BHK Builder Floor for Sale in Sector 82 Gurgaon,₹1.30 Cr,1133 sqft,https://www.magicbricks.com/vatika-india-next-sector-82-gurgaon-pdpid-4d4235303030303336,1,9,2025-08-10 18:29:23.106321,Updated 13 hours ago,2025-08-10 05:29:23.106279
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,₹2.60 Cr,2066 sqft,https://www.magicbricks.com/godrej-oasis-dwarka-expressway-gurgaon-pdpid-4d4235303431363339,1,11,2025-08-10 18:29:23.107812,Updated 13 hours ago,2025-08-10 05:29:23.107794
2 BHK Apartment for Sale in Sector 68 Gurgaon,₹2.12 Cr,1325 sqft,https://www.magicbricks.com/m3m-marina-sector-68-gurgaon-pdpid-4d4235303732323235,1,14,2025-08-10 18:29:23.109501,Updated 13 hours ago,2025-08-10 05:29:23.109492
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,₹4.62 Cr,2570 sqft,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,1,15,2025-08-10 18:29:23.110014,Updated 13 hours ago,2025-08-10 05:29:23.110004
2 BHK Apartment for Sale in Sector 60 Gurgaon,₹2.95 Cr,1540 sqft,https://www.magicbricks.com/ireo-skyon-sector-60-gurgaon-pdpid-4d4235303230313733,1,16,2025-08-10 18:29:23.110583,Updated 13 hours ago,2025-08-10 05:29:23.110577
