title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
1 BHK Apartment for Sale in Naigaon East Mumbai,₹40 Lac,368 sqft,https://www.magicbricks.com/vencel-enclave-naigaon-east-mumbai-pdpid-4d4235323038313739,1,3,2025-08-10 15:15:46.455491,,
2 BHK Apartment for Sale in Naigaon East Mumbai,₹45 Lac,750 sqft,https://www.magicbricks.com/mittal-enclave-naigaon-east-mumbai-pdpid-4d4235303338323535,1,4,2025-08-10 15:15:46.456224,,
1 BHK Apartment for Sale in Kurla West Mumbai,₹1.02 Cr,715 sqft,https://www.magicbricks.com/premier-residences-kurla-west-mumbai-pdpid-4d4235303330323032,1,5,2025-08-10 15:15:46.456764,,
1 BHK Apartment for Sale in Parel Mumbai,₹94 Lac,269 sqft,https://www.magicbricks.com/shree-dutta-tower-parel-mumbai-pdpid-4d4235303633333431,1,6,2025-08-10 15:15:46.457361,,
2 BHK Apartment for Sale in Chembur Mumbai,₹1.75 Cr,650 sqft,https://www.magicbricks.com/vani-apartment-chembur-mumbai-pdpid-4d4235303739323031,1,8,2025-08-10 15:15:46.458663,,
1 BHK Apartment for Sale in Vasai Mumbai,₹40 Lac,610 sqft,https://www.magicbricks.com/evershine-city-vasai-mumbai-pdpid-4d4235303330363935,1,9,2025-08-10 15:15:46.459240,"2+ PhotosPosted:   YesterdayOwner: Ahmed Shaikh1 BHK Apartment for Sale in Vasai MumbaiEvershine CitySuper Area610 sqftStatusReady to MoveFloor5 out of 7TransactionResaleFurnishingFurnishedSocietyEvershine CityOwnershipFreeholdBathroom1Near Masjid A 1 BHK apartment is available for sale in Vasai, Mumbai. It is in a prime location within Evershine City. This flat for resale is equipped with all required facilities. This ready to move property in Vasai is available at a cost of INR 40 Lac. The flat is available in furnished state. The flat is in close proximity to landmarks like mc donalds and dream city malll.Read more₹40 Lac ₹6,557 per sqft Contact Owner Get Phone No. ",2025-08-09 12:00:00.000000
1 BHK Apartment for Sale in Powai Mumbai,₹1.90 Cr,390 sqft,https://www.magicbricks.com/hiranandani-highland-powai-mumbai-pdpid-4d4235333139313139,1,10,2025-08-10 15:15:46.460030,,
1 BHK Apartment for Sale in Vatsalabai Naik Nagar Mumbai,₹42 Lac,270 sqft,https://www.magicbricks.com/mass-metropolis-vatsalabai-naik-nagar-mumbai-pdpid-4d4235313030333331,1,12,2025-08-10 15:15:46.461769,,
2 BHK Apartment for Sale in Kanjurmarg East Mumbai,₹1.50 Cr,625 sqft,https://www.magicbricks.com/rna-ng-royal-park-kanjurmarg-east-mumbai-pdpid-4d4235303138393332,1,14,2025-08-10 15:15:46.462932,"18+ PhotosUpdated 12 hours ago Owner: kanayalal2 BHK Apartment for Sale in Kanjurmarg East MumbaiRNA NG Royal ParkCarpet Area625 sqftStatusReady to MoveFloor5 out of 15TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/ParkSocietyRNA NG Royal ParkOwnershipFreeholdBathroom2East Facing Property5 minutes walking distance from Kanjurmarg station and 2 minutes away from Metro station The 2 BHK apartment is immediately available for sale in Kanjurmarg East. This flat is situated within Rna Ng Royal Park. This flat for resale is a great choice for you. This ready to move flat in Kanjurmarg East is available for a price of INR 1.50 Cr. It is a unfurnished flat. Some of the landmarks near the flat include kanakia and lodha.Read more₹1.50 Cr ₹15,740 per sqft Contact Owner Get Phone No. ",2025-08-10 03:15:46.462896
2 BHK Apartment for Sale in Matunga East Mumbai,₹2.15 Cr,430 sqft,https://www.magicbricks.com/hubtown-harmony-matunga-east-mumbai-pdpid-4d4235303630383431,1,16,2025-08-10 15:15:46.463974,"8+ PhotosUpdated 12 hours ago Owner: prakash2 BHK Apartment for Sale in Matunga East MumbaiHubtown HarmonyCarpet Area430 sqftStatusReady to MoveFloor4 out of 17TransactionResaleFurnishingUnfurnishedSocietyHubtown HarmonyBathroom2Balcony1This spacious 2 BHK apartment can be found for sale in Matunga East, Mumbai. The flat has a prime location within Hubtown Harmony. This flat is available as a resale property. This ready to move flat in Matunga East can be availed at a price of INR 2.15 Cr. The apartment is unfurnished.Read more₹2.15 Cr ₹27,922 per sqft Contact Owner Get Phone No. ",2025-08-10 03:15:46.463956
