title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
1 BHK Apartment for Sale in Naigaon East Mumbai,₹40 Lac,368 sqft,https://www.magicbricks.com/vencel-enclave-naigaon-east-mumbai-pdpid-4d4235323038313739,1,3,2025-08-10 19:24:29.995154,Updated today,2025-08-10 12:00:00.000000,2,3,1 BHK,Semi-Furnished,2 out of 4,,Vencel Enclave,Ready to Move,,,Freehold,Resale,
2 BHK Apartment for Sale in Naigaon East Mumbai,₹45 Lac,750 sqft,https://www.magicbricks.com/mittal-enclave-naigaon-east-mumbai-pdpid-4d4235303338323535,1,4,2025-08-10 19:24:29.996747,Updated today,2025-08-10 12:00:00.000000,2,2,2 BHK,Unfurnished,6 out of 7,,Mittal Enclave,Ready to Move,North - East,,Freehold,Resale,
1 BHK Apartment for Sale in Kurla West Mumbai,₹1.02 Cr,715 sqft,https://www.magicbricks.com/premier-residences-kurla-west-mumbai-pdpid-4d4235303330323032,1,5,2025-08-10 19:24:29.998174,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Semi-Furnished,,,Premier Residences,Ready to Move,,,,Resale,
1 BHK Apartment for Sale in Parel Mumbai,₹94 Lac,269 sqft,https://www.magicbricks.com/shree-dutta-tower-parel-mumbai-pdpid-4d4235303633333431,1,6,2025-08-10 19:24:29.999912,Updated today,2025-08-10 12:00:00.000000,1,2,1 BHK,Unfurnished,6 out of 8,,Shree Dutta Tower,Ready to Move,West,,Freehold,Resale,Main Road
2 BHK Apartment for Sale in Chembur Mumbai,₹1.75 Cr,650 sqft,https://www.magicbricks.com/vani-apartment-chembur-mumbai-pdpid-4d4235303739323031,1,8,2025-08-10 19:24:30.004978,Updated today,2025-08-10 12:00:00.000000,2,1,2 BHK,Semi-Furnished,2 out of 7,,Vani Apartment,Ready to Move,East,,Co-operative Society,Resale,Main Road
1 BHK Apartment for Sale in Vasai Mumbai,₹40 Lac,610 sqft,https://www.magicbricks.com/evershine-city-vasai-mumbai-pdpid-4d4235303330363935,1,9,2025-08-10 19:24:30.006687,Posted: Yesterday,2025-08-09 12:00:00.000000,1,,1 BHK,Furnished,5 out of 7,,Evershine City,Ready to Move,,,Freehold,Resale,
1 BHK Apartment for Sale in Powai Mumbai,₹1.90 Cr,390 sqft,https://www.magicbricks.com/hiranandani-highland-powai-mumbai-pdpid-4d4235333139313139,1,10,2025-08-10 19:24:30.008784,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Semi-Furnished,6 out of 23,,Hiranandani Highland,Ready to Move,,,,New Property,"Garden/Park, Main Road"
1 BHK Apartment for Sale in Vatsalabai Naik Nagar Mumbai,₹42 Lac,270 sqft,https://www.magicbricks.com/mass-metropolis-vatsalabai-naik-nagar-mumbai-pdpid-4d4235313030333331,1,12,2025-08-10 19:24:30.011065,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Semi-Furnished,13 out of 18,,Mass Metropolis,Ready to Move,East,,Freehold,New Property,Main Road
2 BHK Apartment for Sale in Kanjurmarg East Mumbai,₹1.50 Cr,625 sqft,https://www.magicbricks.com/rna-ng-royal-park-kanjurmarg-east-mumbai-pdpid-4d4235303138393332,1,14,2025-08-10 19:24:30.013438,Updated 16 hours ago,2025-08-10 03:24:30.012224,2,,2 BHK,Unfurnished,5 out of 15,,RNA NG Royal Park,Ready to Move,East,,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Matunga East Mumbai,₹2.15 Cr,430 sqft,https://www.magicbricks.com/hubtown-harmony-matunga-east-mumbai-pdpid-4d4235303630383431,1,16,2025-08-10 19:24:30.015550,Updated 16 hours ago,2025-08-10 03:24:30.014605,2,1,2 BHK,Unfurnished,4 out of 17,,Hubtown Harmony,Ready to Move,,,,Resale,
