title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
4 BHK Penthouse for Sale in Dera Bassi Chandigarh,₹3.50 Cr,4400 sqft,https://www.magicbricks.com/ats-golf-meadows-lifestyle-dera-bassi-chandigarh-pdpid-4d4235303233353336,1,1,2025-08-10 18:30:27.683579,Updated 13 hours ago,2025-08-10 05:30:27.683549
4 BHK Apartment for Sale in Zirakpur Chandigarh,₹65 Lac,1950 sqft,https://www.magicbricks.com/palm-court-zirakpur-chandigarh-pdpid-4d4235313030373137,1,3,2025-08-10 18:30:27.685663,Updated yesterday,2025-08-09 12:00:00.000000
2 BHK Apartment for Sale in Dera Bassi Chandigarh,₹25 Lac,112 sqyrd,https://www.magicbricks.com/gbp-eco-homes-dera-bassi-chandigarh-pdpid-4d4235303939373235,1,4,2025-08-10 18:30:27.686610,Updated yesterday,2025-08-09 12:00:00.000000
4 BHK Apartment for Sale in Sector-44 Chandigarh,₹90 Lac,1220 sqft,https://www.magicbricks.com/awho-nandlok-sector-44a-sector-44-chandigarh-pdpid-4d4235323138353833,2,7,2025-08-10 18:30:31.285095,Updated 4 days ago,2025-08-06 18:30:31.285071
Plot/Land for Sale in Dera Bassi Chandigarh,₹42 Lac,1593 sqft,https://www.magicbricks.com/gbp-eco-homes-dera-bassi-chandigarh-pdpid-4d4235303939373235,2,20,2025-08-10 18:30:31.292310,Updated 5 days ago,2025-08-05 18:30:31.292282
3 BHK Apartment for Sale in Zirakpur Chandigarh,₹52 Lac,1530 sqft,https://www.magicbricks.com/maya-garden-city-zirakpur-chandigarh-pdpid-4d4235303233343039,2,22,2025-08-10 18:30:31.293524,Updated yesterday,2025-08-09 12:00:00.000000
2 BHK Apartment for Sale in Dera Bassi Chandigarh,₹60 Lac,1281 sqft,https://www.magicbricks.com/silver-city-themes-dera-bassi-chandigarh-pdpid-4d4235313035353635,2,25,2025-08-10 18:30:31.295086,Updated 1 week ago,2025-08-03 18:30:31.295073
4 BHK Apartment for Sale in Zirakpur Chandigarh,₹75 Lac,2420 sqft,https://www.magicbricks.com/maya-garden-city-zirakpur-chandigarh-pdpid-4d4235303233343039,3,1,2025-08-10 18:30:35.574023,Updated 1 month ago,2025-07-11 18:30:35.573997
2 BHK Builder Floor for Sale in Zirakpur Chandigarh,₹38.5 Lac,800 sqft,https://www.magicbricks.com/nk-sharma-savitry-greens-2-zirakpur-chandigarh-pdpid-4d4235303836323939,3,4,2025-08-10 18:30:35.575547,Posted:   3 months ago,2025-05-12 18:30:35.575533
3 BHK Apartment for Sale in Zirakpur Chandigarh,₹50 Lac,1250 sqft,https://www.magicbricks.com/irwo-rail-vihar-zirakpur-chandigarh-pdpid-4d4235333133313733,3,6,2025-08-10 18:30:35.576674,Updated 1 month ago,2025-07-11 18:30:35.576663
2 BHK Apartment for Sale in Khara Mohali Chandigarh,₹56 Lac,1280 sqft,https://www.magicbricks.com/paras-panorama-khara-mohali-chandigarh-pdpid-4d4235303338393533,3,9,2025-08-10 18:30:35.578494,Posted:   3 months ago,2025-05-12 18:30:35.578478
4 BHK  House for Sale in Dera Bassi Chandigarh,₹70 Lac,2000 sqft,https://www.magicbricks.com/bella-homes-dera-bassi-chandigarh-pdpid-4d4235313031363637,3,13,2025-08-10 18:30:35.580790,Updated 2 weeks ago,2025-07-27 18:30:35.580767
3 BHK Apartment for Sale in Manimajra Chandigarh,₹1.79 Cr,1610 sqft,https://www.magicbricks.com/modern-housing-complex-manimajra-chandigarh-pdpid-4d4235323233343731,3,19,2025-08-10 18:30:35.584257,Updated 1 month ago,2025-07-11 18:30:35.584241
Plot/Land for Sale in Zirakpur Chandigarh,₹95 Lac,2250 sqft,https://www.magicbricks.com/vishranti-city-zirakpur-chandigarh-pdpid-4d4235323030343935,3,22,2025-08-10 18:30:35.585993,Updated 3 months ago,2025-05-12 18:30:35.585975
1 BHK Apartment for Sale in Sector 50 Chandigarh,₹78 Lac,750 sqft,https://www.magicbricks.com/bsnl-society-sector-50-chandigarh-pdpid-4d4235323231343239,3,26,2025-08-10 18:30:35.588289,Updated 4 weeks ago,2025-07-13 18:30:35.588271
3 BHK Builder Floor for Sale in Dera Bassi Chandigarh,₹45 Lac,1050 sqft,https://www.magicbricks.com/gbp-eco-greens-2-dera-bassi-chandigarh-pdpid-4d4235303836333035,3,27,2025-08-10 18:30:35.588953,Updated 1 week ago,2025-08-03 18:30:35.588944
2 BHK Apartment for Sale in Dera Bassi Chandigarh,₹19 Lac,701 sqft,https://www.magicbricks.com/ubber-golden-palms-dera-bassi-chandigarh-pdpid-4d4235303832393036,3,29,2025-08-10 18:30:35.590162,Updated 1 month ago,2025-07-11 18:30:35.590149
"1 BHK Apartment for Sale in CHB Lig Flat, Sector 45-D, Chandigarh Chandigarh",₹70 Lac,64 sqyrd,https://www.magicbricks.com/chb-ews-flat-sector-52-chandigarh-pdpid-4d4235313037383533,3,30,2025-08-10 18:30:35.590669,Updated 3 months ago,2025-05-12 18:30:35.590660
