title,price,price_per_sqft,carpet_area,super_area,area,bedrooms,bathrooms,floor,age,furnishing,property_type,locality,society,builder,possession,parking,facing,amenities,description,agent_name,agent_contact,property_url,image_urls,latitude,longitude,posted_date,property_id
"3 BHK Builder Floor for Sale in Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹1.80 Cr₹12,500 per sqft",,,,1000,3,,,,Semi Furnished,"3 BHK Builder Floor for Sale in Sector 37D, Delhi Gurgaon Expressway Gurgaon",,,,,,,,,,,https://www.magicbricks.com/signature-global-city-37d-sector-37d-gurgaon-pdpid-4d4235323933343339,https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/08/Photo_h300_w450/79183307_3_PropertyImage1746685370214_300_450.jpg,,,,4235323933343339
3 BHK Apartment for Sale in Sector 70A Gurgaon,"₹1.50 Cr₹7,591 per sqft",,,,1400,3,,,,Semi Furnished,3 BHK Apartment for Sale in Sector 70A Gurgaon,Sector 70A,,,,,,,,,,https://www.magicbricks.com/capital-the-residences-360-sector-70a-gurgaon-pdpid-4d4235323835383133,,,,,4235323835383133
4 BHK Apartment for Sale in Sector 63 Gurgaon,"₹7.25 Cr₹18,590 per sqft",,,,2800,4,,27,,Semi Furnished,4 BHK Apartment for Sale in Sector 63 Gurgaon,Sector 63,,,,,,,,,,https://www.magicbricks.com/the-sixty-three-sector-63-gurgaon-pdpid-4d4235333934323635,,,,,4235333934323635
Plot/Land for Sale in Block I South City 1 Gurgaon,"₹14.25 Cr₹31,520 per sqft",,,,4521,,,,,,Plot/Land for Sale in Block I South City 1 Gurgaon,,,,,,,,,,,https://www.magicbricks.com/south-city-1-sector-40-gurgaon-pdpid-4d4235313638373531,,,,,4235313638373531
3 BHK Apartment for Sale in Sector 70 Gurgaon,"₹1.55 Cr₹13,632 per sqft",,,,950,3,,,,Semi Furnished,3 BHK Apartment for Sale in Sector 70 Gurgaon,Sector 70,,,,,,,,,,https://www.magicbricks.com/tulip-orange-sector-70-gurgaon-pdpid-4d4235303137313631,,,,,4235303137313631
2 BHK Builder Floor for Sale in Sector 82 Gurgaon,"₹1.30 Cr₹11,474 per sqft",,,,1133,2,,2,,Semi Furnished,2 BHK Builder Floor for Sale in Sector 82 Gurgaon,Sector 82,,,,,,,,,,https://www.magicbricks.com/vatika-india-next-sector-82-gurgaon-pdpid-4d4235303030303336,,,,,4235303030303336
3 BHK Apartment for Sale in Sector 67A Gurgaon,"₹2.85 Cr₹16,503 per sqft",,,,1295,3,3,6,,Semi Furnished,3 BHK Apartment for Sale in Sector 67A Gurgaon,Sector 67A,,,,,,,,,,https://www.magicbricks.com/ireo-the-corridors-sector-67a-gurgaon-pdpid-4d4235303231363539,,,,,4235303231363539
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,"₹2.60 Cr₹12,585 per sqft",,,,2066,3,,11,,Semi Furnished,3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,Dwarka Expressway,,,,,,,,,,https://www.magicbricks.com/godrej-oasis-dwarka-expressway-gurgaon-pdpid-4d4235303431363339,,,,,4235303431363339
3 BHK Apartment for Sale in Gwal Pahari Gurgaon,"₹1.52 Cr₹11,692 per sqft",,,,1300,3,,1,,Semi Furnished,3 BHK Apartment for Sale in Gwal Pahari Gurgaon,Gwal Pahari,,,,,,,,,,https://www.magicbricks.com/ansal-valley-view-estate-gwal-pahari-gurgaon-pdpid-4d4235303031323039,,,,,4235303031323039
4 BHK Apartment for Sale in Sector 112 Gurgaon,"₹8 Cr₹16,502 per sqft",,,,4800,4,,,,Semi Furnished,4 BHK Apartment for Sale in Sector 112 Gurgaon,Sector 112,,,,,,,,,,https://www.magicbricks.com/experion-windchants-sector-112-gurgaon-pdpid-4d4235303232333739,,,,,4235303232333739
2 BHK Apartment for Sale in Sector 79 Gurgaon,"₹1.55 Cr₹11,208 per sqft",,,,800,2,,7,,Semi Furnished,2 BHK Apartment for Sale in Sector 79 Gurgaon,Sector 79,,,,,,,,,,https://www.magicbricks.com/godrej-101-sector-79-gurgaon-pdpid-4d4235303834343632,,,,,4235303834343632
"2 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon","₹77.5 Lac₹11,923 per sqft",,,,585,2,,1,,Semi Furnished,"2 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",,,,,,,,,,,https://www.magicbricks.com/the-trisara-apex-our-homes-sector-37c-gurgaon-pdpid-4d4235303239383330,,,,,4235303239383330
3 BHK Apartment for Sale in Sector 30 Gurgaon,"₹1.25 Cr₹9,259 per sqft",,,,1350,3,,,,Furnished,3 BHK Apartment for Sale in Sector 30 Gurgaon,Sector 30,,,,,,,,,,https://www.magicbricks.com/luxury-villa-sector-30-gurgaon-pdpid-4d4235323037303739,,,,,4235323037303739
2 BHK Apartment for Sale in Sector 103 Gurgaon,"₹65 Lac₹10,744 per sqft",,,,605,2,,,,Semi Furnished,2 BHK Apartment for Sale in Sector 103 Gurgaon,Sector 103,,,,,,,,,,https://www.magicbricks.com/signature-global-grand-iva-sector-103-gurgaon-pdpid-4d4235303835393539,,,,,4235303835393539
