title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
3 BHK Apartment for Sale in Mugalivakkam Chennai,₹79 Lac,1001 sqft,https://www.magicbricks.com/anugraha-apartments-mugalivakkam-chennai-pdpid-4d4235333837303633,1,1,2025-08-10 19:21:21.482584,Updated today,2025-08-10 12:00:00.000000,2,1,3 BHK,Semi-Furnished,1 out of 5,,Anugraha Apartments,Ready to Move,South,1 Covered,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Chromepet Chennai,₹32 Lac,639 sqft,https://www.magicbricks.com/amarprakash-the-royal-castle-chromepet-chennai-pdpid-4d4235303238393333,1,5,2025-08-10 19:21:21.486021,Updated today,2025-08-10 12:00:00.000000,1,,2 BHK,Semi-Furnished,3 out of 7,,Amarprakash The Royal Castle,Ready to Move,East,,Co-operative Society,Resale,"Pool, Garden/Park, Main Road"
Plot/Land for Sale in East Coast Road Chennai,₹18.8 Lac,1500 sqft,https://www.magicbricks.com/royal-majestic-compound-east-coast-road-chennai-pdpid-4d4235313631313139,1,6,2025-08-10 19:21:21.487466,Updated today,2025-08-10 12:00:00.000000,,,Plot,,,,Royal Majestic Compound,,10 m,,Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Padur Chennai,₹61 Lac,1100 sqft,https://www.magicbricks.com/jananis-blue-bells-padur-chennai-pdpid-4d4235303633303330,1,9,2025-08-10 19:21:21.490114,Updated today,2025-08-10 12:00:00.000000,2,,3 BHK,Semi-Furnished,3 out of 4,,Jananis Blue Bells,Ready to Move,North,1 Covered,,Resale,
Apartment for Sale in Guduvancherry Chennai,₹37.1 Lac,714 sqft,https://www.magicbricks.com/shriram-shankari-guduvancherry-chennai-pdpid-4d4235303138313536,1,15,2025-08-10 19:21:21.495150,Updated 16 hours ago,2025-08-10 03:21:21.494193,,,Apartment,,2 out of 4,,Shriram Shankari,,North,,Freehold,Resale,
3 BHK Apartment for Sale in East Coast Road Chennai,₹1.15 Cr,1539 sqft,https://www.magicbricks.com/vgn-coasta-east-coast-road-chennai-pdpid-4d4235303731313638,1,25,2025-08-10 19:21:21.502996,Updated 14 hours ago,2025-08-10 05:21:21.501871,2,1,3 BHK,Unfurnished,4 out of 14,,VGN Coasta,Ready to Move,,,,Resale,
3 BHK Apartment for Sale in Ambattur Chennai,₹1.25 Cr,1317 sqft,https://www.magicbricks.com/vgn-stafford-ambattur-chennai-pdpid-4d4235303236343735,1,27,2025-08-10 19:21:21.505379,Updated 14 hours ago,2025-08-10 05:21:21.504191,3,3,3 BHK,Semi-Furnished,1 out of 4,,VGN Stafford,Ready to Move,North - West,"1 Covered,",Freehold,Resale,Main Road
2 BHK Apartment for Sale in Telephone Nagar Chennai,₹80 Lac,958 sqft,https://www.magicbricks.com/urban-tree-atrium-telephone-nagar-chennai-pdpid-4d4235303137303037,2,2,2025-08-10 19:21:26.508240,Updated 14 hours ago,2025-08-10 05:21:26.506751,2,2,2 BHK,Semi-Furnished,1 out of 4,,Urban Tree Atrium,Ready to Move,North,,Freehold,New Property,"Garden/Park, Pool, Main Road"
2 BHK Apartment for Sale in Keelkattalai Chennai,₹72.2 Lac,903 sqft,https://www.magicbricks.com/ambal-nagar-keelkattalai-chennai-pdpid-4d4235323931373531,2,4,2025-08-10 19:21:26.510580,Updated 14 hours ago,2025-08-10 05:21:26.509518,2,,2 BHK,Unfurnished,1 out of 3,,Ambal Nagar,Ready to Move,South,1 Covered,Freehold,Resale,Main Road
3 BHK Apartment for Sale in Adyar Chennai,₹3.90 Cr,1800 sqft,https://www.magicbricks.com/olympia-jayanthi-residences-adyar-chennai-pdpid-4d4235313035333133,2,5,2025-08-10 19:21:26.512491,Updated 14 hours ago,2025-08-10 05:21:26.511217,1,1,3 BHK,Furnished,9 out of 9,,Olympia Jayanthi Residences,Ready to Move,West,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Korattur Chennai,₹86 Lac,1200 sqft,https://www.magicbricks.com/alliance-orchid-springs-korattur-chennai-pdpid-4d4235303236303132,2,7,2025-08-10 19:21:26.515164,Updated 14 hours ago,2025-08-10 05:21:26.513910,2,1,3 BHK,Semi-Furnished,1 out of 17,,Alliance Orchid Springs,Ready to Move,East,,Freehold,Resale,"Garden/Park, Main Road"
2 BHK Apartment for Sale in Sholinganallur Chennai,₹1.39 Cr,1100 sqft,https://www.magicbricks.com/prestige-courtyards-sholinganallur-chennai-pdpid-4d4235313136343235,2,9,2025-08-10 19:21:26.517575,Updated 14 hours ago,2025-08-10 05:21:26.516314,2,1,2 BHK,Semi-Furnished,Ground out of 4,,Prestige Courtyards,Ready to Move,East,,Freehold,Resale,"Garden/Park, Main Road"
2 BHK Builder Floor for Sale in Perungudi Chennai,₹82 Lac,900 sqft,https://www.magicbricks.com/jbm-mudra-perungudi-chennai-pdpid-4d4235303236393131,2,10,2025-08-10 19:21:26.519384,Updated 14 hours ago,2025-08-10 05:21:26.518148,2,1,2 BHK,Semi-Furnished,JBM MUDRA,,JBM MUDRA,Ready to Move,North,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Poonamallee Chennai,₹58 Lac,1052 sqft,https://www.magicbricks.com/kg-centre-point-poonamallee-chennai-pdpid-4d4235303231323538,2,11,2025-08-10 19:21:26.521309,Updated 14 hours ago,2025-08-10 05:21:26.520067,2,1,3 BHK,Semi-Furnished,2 out of 4,,KG Centre Point,Ready to Move,South,1 Covered,Freehold,Resale,Main Road
