title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
3 BHK Apartment for Sale in Mugalivakkam Chennai,₹79 Lac,1001 sqft,https://www.magicbricks.com/anugraha-apartments-mugalivakkam-chennai-pdpid-4d4235333837303633,1,1,2025-08-10 18:20:56.966883,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Chromepet Chennai,₹32 Lac,639 sqft,https://www.magicbricks.com/amarprakash-the-royal-castle-chromepet-chennai-pdpid-4d4235303238393333,1,5,2025-08-10 18:20:56.969131,Updated today,2025-08-10 12:00:00.000000
Plot/Land for Sale in East Coast Road Chennai,₹18.8 Lac,1500 sqft,https://www.magicbricks.com/royal-majestic-compound-east-coast-road-chennai-pdpid-4d4235313631313139,1,6,2025-08-10 18:20:56.969701,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Padur Chennai,₹61 Lac,1100 sqft,https://www.magicbricks.com/jananis-blue-bells-padur-chennai-pdpid-4d4235303633303330,1,9,2025-08-10 18:20:56.971406,Updated today,2025-08-10 12:00:00.000000
Apartment for Sale in Guduvancherry Chennai,₹37.1 Lac,714 sqft,https://www.magicbricks.com/shriram-shankari-guduvancherry-chennai-pdpid-4d4235303138313536,1,15,2025-08-10 18:20:56.974544,Updated 15 hours ago,2025-08-10 03:20:56.974530
3 BHK Apartment for Sale in East Coast Road Chennai,₹1.15 Cr,1539 sqft,https://www.magicbricks.com/vgn-coasta-east-coast-road-chennai-pdpid-4d4235303731313638,1,25,2025-08-10 18:20:56.980554,Updated 13 hours ago,2025-08-10 05:20:56.980536
3 BHK Apartment for Sale in Ambattur Chennai,₹1.25 Cr,1317 sqft,https://www.magicbricks.com/vgn-stafford-ambattur-chennai-pdpid-4d4235303236343735,1,27,2025-08-10 18:20:56.982011,Updated 13 hours ago,2025-08-10 05:20:56.981990
2 BHK Apartment for Sale in Telephone Nagar Chennai,₹80 Lac,958 sqft,https://www.magicbricks.com/urban-tree-atrium-telephone-nagar-chennai-pdpid-4d4235303137303037,2,2,2025-08-10 18:21:01.930416,Updated 13 hours ago,2025-08-10 05:21:01.930392
2 BHK Apartment for Sale in Keelkattalai Chennai,₹72.2 Lac,903 sqft,https://www.magicbricks.com/ambal-nagar-keelkattalai-chennai-pdpid-4d4235323931373531,2,4,2025-08-10 18:21:01.931631,Updated 13 hours ago,2025-08-10 05:21:01.931618
3 BHK Apartment for Sale in Adyar Chennai,₹3.90 Cr,1800 sqft,https://www.magicbricks.com/olympia-jayanthi-residences-adyar-chennai-pdpid-4d4235313035333133,2,5,2025-08-10 18:21:01.932401,Updated 13 hours ago,2025-08-10 05:21:01.932390
3 BHK Apartment for Sale in Korattur Chennai,₹86 Lac,1200 sqft,https://www.magicbricks.com/alliance-orchid-springs-korattur-chennai-pdpid-4d4235303236303132,2,7,2025-08-10 18:21:01.933816,Updated 13 hours ago,2025-08-10 05:21:01.933807
