title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
4 BHK Apartment for Sale in Golf Course Road Gurgaon,9 Cr,3120 sqft,https://www.magicbricks.com/parsvnath-exotica-golf-course-road-gurgaon-pdpid-4d4235303139373132,1,1,2025-08-12 22:53:21.084769,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,4,4 BHK,Semi-Furnished,3 out of 17,,Parsvnath Exotica,Ready to Move,North,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",109.1,[],True
4 BHK Builder Floor for Sale in Block F DLF Phase 1 Gurgaon,4.75 Cr,2300 sqft,,1,2,2025-08-12 22:53:21.087920,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],5,2,4 BHK,Semi-Furnished,Carpet Area2300 sqftStatusReady to MoveFloor3 out of 4TransactionResaleFurnishingSemi-FurnishedOwnershipFreeholdBathroom5Balcony2,,,Ready to Move,,,Freehold,Resale,,86.4,['Missing property URL'],False
3 BHK Apartment for Sale in Pataudi Road Gurgaon,2.25 Cr,2200 sqft,https://www.magicbricks.com/tulip-infratech-ace-pataudi-road-gurgaon-pdpid-4d4235303137313634,1,3,2025-08-12 22:53:21.089497,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,4,3 BHK,Semi-Furnished,8 out of 12,,Tulip Infratech Ace,Ready to Move,,,,New Property,"Main Road, Pool, Garden/Park",95.5,[],True
4 BHK Apartment for Sale in Sector 91 Gurgaon,3.75 Cr,2700 sqft,https://www.magicbricks.com/dlf-new-town-heights-3-sector-91-gurgaon-pdpid-4d4235303837323937,1,4,2025-08-12 22:53:21.090837,Updated today,2025-08-12 12:00:00.000000,False,standard,[],4,4,4 BHK,Semi-Furnished,7 out of 21,,DLF New Town Heights 3,Ready to Move,East,"2 Covered,",Freehold,Resale,"Garden/Park, Pool, Main Road",100.0,[],True
3 BHK Apartment for Sale in Sector 63A Gurgaon,3.15 Cr,1900 sqft,https://www.magicbricks.com/signature-global-city-63a-sector-63a-gurgaon-pdpid-4d4235333333323633,1,5,2025-08-12 22:53:21.092291,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,2,3 BHK,Semi-Furnished,4 out of 4,,Signature Global City 63A,Ready to Move,North,,Freehold,Resale,Garden/Park,104.5,[],True
4 BHK Builder Floor for Sale in Sushant Lok 2 Sector 57 Gurgaon,4.95 Cr,275 sqyrd,,1,6,2025-08-12 22:53:21.095863,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,3,4 BHK,Semi-Furnished,"Carpet Area275 sqyrdStatusReady to MoveFloor4 out of 5TransactionResaleFurnishingSemi-FurnishedfacingSouth -WestoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking1 Covered,Bathroom4Balcony3",,,Ready to Move,South -West,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",100.0,['Missing property URL'],False
4 BHK Builder Floor for Sale in Sector 55 Gurgaon,3.41 Cr,230 sqyrd,,1,7,2025-08-12 22:53:21.099456,Updated 18 hours ago,2025-08-12 04:53:21.098350,True,premium,['text_premium'],4,2,4 BHK,Unfurnished,"Carpet Area230 sqyrdStatusReady to MoveFloor4 out of 4TransactionResaleFurnishingUnfurnishedfacingSouth - EastoverlookingGarden/Park, Pool, Main RoadOwnershipFreeholdBathroom4Balcony2",,,Ready to Move,South - East,,Freehold,Resale,"Garden/Park, Pool, Main Road",95.5,['Missing property URL'],False
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,4.62 Cr,2570 sqft,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,1,8,2025-08-12 22:53:21.100892,Updated 18 hours ago,2025-08-12 04:53:21.099899,True,premium,['text_premium'],4,2,3 BHK,Semi-Furnished,21 out of 44,,Indiabulls Estate and Club,,,,,New Property,"Garden/Park, Main Road, Pool",90.9,[],True
2 BHK Apartment for Sale in Sector 68 Gurgaon,2.12 Cr,1325 sqft,https://www.magicbricks.com/m3m-marina-sector-68-gurgaon-pdpid-4d4235303732323235,1,9,2025-08-12 22:53:21.102561,Updated 18 hours ago,2025-08-12 04:53:21.101391,True,premium,['text_premium'],2,4,2 BHK,Furnished,3 out of 15,,M3M Marina,Ready to Move,South -West,,Leasehold,Resale,"Garden/Park, Pool",104.5,[],True
4 BHK Builder Floor for Sale in Sector 66 Gurgaon,5.35 Cr,1542 sqft,https://www.magicbricks.com/emaar-mgf-marbella-sector-66-gurgaon-pdpid-4d4235303232343438,1,10,2025-08-12 22:53:21.104158,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,3,4 BHK,Semi-Furnished,Emaar MGF Marbella,,Emaar MGF Marbella,Ready to Move,,,,Resale,,90.9,[],True
