title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
4 BHK Apartment for Sale in Golf Course Road Gurgaon,9 Cr,3120 sqft,https://www.magicbricks.com/parsvnath-exotica-golf-course-road-gurgaon-pdpid-4d4235303139373132,1,1,2025-08-12 22:59:24.742762,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,4,4 BHK,Semi-Furnished,3 out of 17,,Parsvnath Exotica,Ready to Move,North,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",109.1,[],True
4 BHK Builder Floor for Sale in Block F DLF Phase 1 Gurgaon,4.75 Cr,2300 sqft,,1,2,2025-08-12 22:59:24.746884,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],5,2,4 BHK,Semi-Furnished,Carpet Area2300 sqftStatusReady to MoveFloor3 out of 4TransactionResaleFurnishingSemi-FurnishedOwnershipFreeholdBathroom5Balcony2,,,Ready to Move,,,Freehold,Resale,,86.4,[],True
3 BHK Apartment for Sale in Pataudi Road Gurgaon,2.25 Cr,2200 sqft,https://www.magicbricks.com/tulip-infratech-ace-pataudi-road-gurgaon-pdpid-4d4235303137313634,1,3,2025-08-12 22:59:24.748444,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,4,3 BHK,Semi-Furnished,8 out of 12,,Tulip Infratech Ace,Ready to Move,,,,New Property,"Main Road, Pool, Garden/Park",95.5,[],True
4 BHK Apartment for Sale in Sector 91 Gurgaon,3.75 Cr,2700 sqft,https://www.magicbricks.com/dlf-new-town-heights-3-sector-91-gurgaon-pdpid-4d4235303837323937,1,4,2025-08-12 22:59:24.749926,Updated today,2025-08-12 12:00:00.000000,False,standard,[],4,4,4 BHK,Semi-Furnished,7 out of 21,,DLF New Town Heights 3,Ready to Move,East,"2 Covered,",Freehold,Resale,"Garden/Park, Pool, Main Road",100.0,[],True
3 BHK Apartment for Sale in Sector 63A Gurgaon,3.15 Cr,1900 sqft,https://www.magicbricks.com/signature-global-city-63a-sector-63a-gurgaon-pdpid-4d4235333333323633,1,5,2025-08-12 22:59:24.751829,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,2,3 BHK,Semi-Furnished,4 out of 4,,Signature Global City 63A,Ready to Move,North,,Freehold,Resale,Garden/Park,104.5,[],True
4 BHK Builder Floor for Sale in Sushant Lok 2 Sector 57 Gurgaon,4.95 Cr,275 sqyrd,,1,6,2025-08-12 22:59:24.756989,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,3,4 BHK,Semi-Furnished,"Carpet Area275 sqyrdStatusReady to MoveFloor4 out of 5TransactionResaleFurnishingSemi-FurnishedfacingSouth -WestoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking1 Covered,Bathroom4Balcony3",,,Ready to Move,South -West,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",100.0,[],True
4 BHK Builder Floor for Sale in Sector 55 Gurgaon,3.41 Cr,230 sqyrd,,1,7,2025-08-12 22:59:24.762825,Updated 18 hours ago,2025-08-12 04:59:24.760317,True,premium,['text_premium'],4,2,4 BHK,Unfurnished,"Carpet Area230 sqyrdStatusReady to MoveFloor4 out of 4TransactionResaleFurnishingUnfurnishedfacingSouth - EastoverlookingGarden/Park, Pool, Main RoadOwnershipFreeholdBathroom4Balcony2",,,Ready to Move,South - East,,Freehold,Resale,"Garden/Park, Pool, Main Road",95.5,[],True
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,4.62 Cr,2570 sqft,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,1,8,2025-08-12 22:59:24.765307,Updated 18 hours ago,2025-08-12 04:59:24.763864,True,premium,['text_premium'],4,2,3 BHK,Semi-Furnished,21 out of 44,,Indiabulls Estate and Club,,,,,New Property,"Garden/Park, Main Road, Pool",90.9,[],True
2 BHK Apartment for Sale in Sector 68 Gurgaon,2.12 Cr,1325 sqft,https://www.magicbricks.com/m3m-marina-sector-68-gurgaon-pdpid-4d4235303732323235,1,9,2025-08-12 22:59:24.767535,Updated 18 hours ago,2025-08-12 04:59:24.765923,True,premium,['text_premium'],2,4,2 BHK,Furnished,3 out of 15,,M3M Marina,Ready to Move,South -West,,Leasehold,Resale,"Garden/Park, Pool",104.5,[],True
4 BHK Builder Floor for Sale in Sector 66 Gurgaon,5.35 Cr,1542 sqft,https://www.magicbricks.com/emaar-mgf-marbella-sector-66-gurgaon-pdpid-4d4235303232343438,1,10,2025-08-12 22:59:24.769170,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,3,4 BHK,Semi-Furnished,Emaar MGF Marbella,,Emaar MGF Marbella,Ready to Move,,,,Resale,,90.9,[],True
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.12 Cr,1993 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,11,2025-08-12 22:59:24.771611,Updated today,2025-08-12 12:00:00.000000,False,standard,[],3,1,3 BHK,Furnished,23 out of 32,,Godrej Aristocrat,,,,,Resale,,77.3,[],True
2 BHK Apartment for Sale in Sector 70 Gurgaon,1.95 Cr,1250 sqft,,1,12,2025-08-12 22:59:24.777097,Updated today,2025-08-12 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,4 out of 10,,,Ready to Move,,,,Resale,,68.2,[],True
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.80 Cr,2238 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,13,2025-08-12 22:59:24.780730,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,4,3 BHK,Unfurnished,9 out of 30,,Godrej Aristocrat,,East,2 Covered,Freehold,Resale,Garden/Park,104.5,[],True
3 BHK Penthouse for Sale in South City 1 Gurgaon,7 Cr,2300 sqft,https://www.magicbricks.com/the-retreat-south-city-1-gurgaon-pdpid-4d4235303837333734,1,14,2025-08-12 22:59:24.782432,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,2,3 BHK,Unfurnished,11 out of 11,,The Retreat,Ready to Move,North - East,1 Open,Freehold,Resale,"Garden/Park, Main Road",109.1,[],True
4 BHK Apartment for Sale in Sector 69 Gurgaon,3.35 Cr,2010 sqft,https://www.magicbricks.com/tulip-violet-sector-69-gurgaon-pdpid-4d4235303137313639,1,15,2025-08-12 22:59:24.785488,Posted: Yesterday,2025-08-11 12:00:00.000000,False,standard,[],4,2,4 BHK,Furnished,13 out of 14,,Tulip Violet,Ready to Move,,,,Resale,,81.8,[],True
4 BHK Apartment for Sale in Sector 90 Gurgaon,3.30 Cr,1800 sqft,https://www.magicbricks.com/dlf-regal-gardens-sector-90-gurgaon-pdpid-4d4235303238333839,1,16,2025-08-12 22:59:24.787032,Updated 17 hours ago,2025-08-12 05:59:24.785968,True,premium,['text_premium'],3,,4 BHK,Semi-Furnished,7 out of 11,,DLF Regal Gardens,Ready to Move,North,,Freehold,Resale,,95.5,[],True
3 BHK Apartment for Sale in Sector 112 Gurgaon,3.80 Cr,2520 sqft,https://www.magicbricks.com/tata-gurgaon-gateway-sector-112-gurgaon-pdpid-4d4235303239353935,1,17,2025-08-12 22:59:24.788544,Updated 17 hours ago,2025-08-12 05:59:24.787477,True,premium,"['text_premium', 'text_luxury']",3,3,3 BHK,Semi-Furnished,13 out of 23,,Tata Gurgaon Gateway,Ready to Move,,,,Resale,Main Road,95.5,[],True
3 BHK Apartment for Sale in Sector 84 Gurgaon,1.95 Cr,14009 sqft,https://www.magicbricks.com/ss-almeria-sector-84-gurgaon-pdpid-4d4235303137373033,1,18,2025-08-12 22:59:24.791494,Updated 18 hours ago,2025-08-12 04:59:24.789432,True,premium,['text_premium'],3,2,3 BHK,Furnished,2 out of 3,,SS Almeria,Ready to Move,,,,Resale,,90.9,[],True
