title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
3 BHK Penthouse for Sale in South City 1 Gurgaon,7 Cr,2300 sqft,https://www.magicbricks.com/the-retreat-south-city-1-gurgaon-pdpid-4d4235303837333734,1,17,2025-08-12 19:13:53.726438,Updated today,2025-08-12 12:00:00.000000,True,premium,"['text_premium', 'text_luxury']",4,2,3 BHK,Unfurnished,11 out of 11,,The Retreat,Ready to Move,North - East,1 Open,Freehold,Resale,"Garden/Park, Main Road",109.1,[],True
4 BHK Apartment for Sale in Sector 69 Gurgaon,3.35 Cr,2010 sqft,https://www.magicbricks.com/tulip-violet-sector-69-gurgaon-pdpid-4d4235303137313639,1,18,2025-08-12 19:13:53.728690,Posted: Yesterday,2025-08-11 12:00:00.000000,False,standard,[],4,2,4 BHK,Furnished,13 out of 14,,Tulip Violet,Ready to Move,,,,Resale,,81.8,[],True
4 BHK Apartment for Sale in Sector 90 Gurgaon,3.30 Cr,1800 sqft,https://www.magicbricks.com/dlf-regal-gardens-sector-90-gurgaon-pdpid-4d4235303238333839,1,19,2025-08-12 19:13:53.730746,Updated 14 hours ago,2025-08-12 05:13:53.729821,True,premium,"['text_premium', 'text_luxury']",3,,4 BHK,Semi-Furnished,7 out of 11,,DLF Regal Gardens,Ready to Move,North,,Freehold,Resale,,95.5,[],True
3 BHK Apartment for Sale in Sector 112 Gurgaon,3.80 Cr,2520 sqft,https://www.magicbricks.com/tata-gurgaon-gateway-sector-112-gurgaon-pdpid-4d4235303239353935,1,20,2025-08-12 19:13:53.732862,Updated 14 hours ago,2025-08-12 05:13:53.731860,True,premium,['text_premium'],3,3,3 BHK,Semi-Furnished,13 out of 23,,Tata Gurgaon Gateway,Ready to Move,,,,Resale,Main Road,95.5,[],True
3 BHK Apartment for Sale in Sector 84 Gurgaon,1.95 Cr,14009 sqft,https://www.magicbricks.com/ss-almeria-sector-84-gurgaon-pdpid-4d4235303137373033,1,21,2025-08-12 19:13:53.734949,Updated 14 hours ago,2025-08-12 05:13:53.734049,True,premium,"['text_premium', 'text_luxury']",3,2,3 BHK,Furnished,2 out of 3,,SS Almeria,Ready to Move,Read more,,,Resale,,95.5,[],True
4 BHK Apartment for Sale in Sector 106 Gurgaon,5.70 Cr,1692 sqft,https://www.magicbricks.com/elan-the-presidential-sector-106-gurgaon-pdpid-4d4235333737333031,1,22,2025-08-12 19:13:53.737283,Updated 14 hours ago,2025-08-12 05:13:53.736221,True,premium,['text_premium'],5,3,4 BHK,Semi-Furnished,22 out of 32,,Elan The Presidential,,East,2 Covered,Freehold,Resale,"Garden/Park, Pool, Main Road",104.5,[],True
5 BHK Penthouse for Sale in Sohna Road Gurgaon,6 Cr,3101 sqft,,1,23,2025-08-12 19:13:53.739409,Updated 14 hours ago,2025-08-12 05:13:53.738404,True,premium,['text_premium'],5,7,5 BHK,Semi-Furnished,10 out of 11,,,Ready to Move,Read more,,,Resale,Garden/Park,90.9,['Missing property URL'],False
"4 BHK Apartment for Sale in Fazilpur Jharsa, Sector 72, Sohna Road Gurgaon",6 Cr,2080 sqft,https://www.magicbricks.com/tata-primanti-fazilpur-jharsa-gurgaon-pdpid-4d4235303030313431,1,24,2025-08-12 19:13:53.741788,Updated 14 hours ago,2025-08-12 05:13:53.740740,True,premium,"['text_premium', 'text_luxury']",4,4,4 BHK,Semi-Furnished,19 out of 38,,Tata Primanti,Ready to Move,North - East,2 Covered,Freehold,Resale,Garden/Park,109.1,[],True
"4 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon",6.50 Cr,3600 sqft,https://www.magicbricks.com/modern-luxurious-floors-at-malibu-town-malibu-town-gurgaon-pdpid-4d4235343232393333,1,25,2025-08-12 19:13:53.744092,Updated 14 hours ago,2025-08-12 05:13:53.743007,True,premium,['text_premium'],5,3,4 BHK,Furnished,"Carpet Area3600 sqftStatusReady to MoveFloor4 out of 4TransactionResaleFurnishingFurnishedfacingNorth - WestoverlookingGarden/Park, Main Road, PoolSocietyModern Luxurious Floors at Malibu TownOwnershipFreeholdCar Parking3 Covered,Bathroom5Balcony3",,Modern Luxurious Floors at Malibu Town,Ready to Move,North - West,"3 Covered,",Freehold,Resale,"Garden/Park, Main Road, Pool",109.1,[],True
3 BHK Apartment for Sale in Sector 69 Gurgaon,2.30 Cr,1200 sqft,https://www.magicbricks.com/tulip-yellow-sector-69-gurgaon-pdpid-4d4235313330303431,1,26,2025-08-12 19:13:53.746780,Updated 14 hours ago,2025-08-12 05:13:53.745731,True,premium,['text_premium'],3,3,3 BHK,Unfurnished,13 out of 26,,Tulip Yellow,,East,,Freehold,Resale,,95.5,[],True
"3 BHK Apartment for Sale in Dharampur, Sector 108 Gurgaon",1.85 Cr,1000 sqft,,1,27,2025-08-12 19:13:53.748961,Updated 14 hours ago,2025-08-12 05:13:53.747821,True,premium,['text_premium'],2,3,3 BHK,Furnished,12 out of 12,,,Ready to Move,,,,Resale,,81.8,['Missing property URL'],False
3 BHK House for Sale in Sector 5 Gurgaon,6.50 Cr,1800 sqft,,1,28,2025-08-12 19:13:53.751580,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,3,3 BHK,Furnished,1 out of 2,,,Ready to Move,North - East,1 Covered,Freehold,Resale,Main Road,100.0,['Missing property URL'],False
"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",5.50 Cr,2125 sqft,,1,29,2025-08-12 19:13:53.754330,Updated 14 hours ago,2025-08-12 05:13:53.753100,True,premium,['text_premium'],4,2,4 BHK,Semi-Furnished,1 out of 4,,,Ready to Move,East,"1 Covered,",Freehold,New Property,"Garden/Park, Main Road",100.0,['Missing property URL'],False
3 BHK Apartment for Sale in Gwal Pahari Gurgaon,1.52 Cr,1300 sqft,https://www.magicbricks.com/ansal-valley-view-estate-gwal-pahari-gurgaon-pdpid-4d4235303031323039,1,30,2025-08-12 19:13:53.756506,Updated 14 hours ago,2025-08-12 05:13:53.755516,True,premium,['text_premium'],2,2,3 BHK,Semi-Furnished,1 out of 17,,Ansal Valley View Estate,Ready to Move,North,1 Open,Freehold,Resale,,104.5,[],True
