title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
3 BHK Apartment for Sale in Mugalivakkam Chennai,₹79 Lac,1001 sqft,https://www.magicbricks.com/anugraha-apartments-mugalivakkam-chennai-pdpid-4d4235333837303633,1,1,2025-08-10 15:51:06.811423,,
2 BHK Apartment for Sale in Chromepet Chennai,₹32 Lac,639 sqft,https://www.magicbricks.com/amarprakash-the-royal-castle-chromepet-chennai-pdpid-4d4235303238393333,1,5,2025-08-10 15:51:06.813593,,
Plot/Land for Sale in East Coast Road Chennai,₹18.8 Lac,1500 sqft,https://www.magicbricks.com/royal-majestic-compound-east-coast-road-chennai-pdpid-4d4235313631313139,1,6,2025-08-10 15:51:06.814103,,
3 BHK Apartment for Sale in Padur Chennai,₹61 Lac,1100 sqft,https://www.magicbricks.com/jananis-blue-bells-padur-chennai-pdpid-4d4235303633303330,1,9,2025-08-10 15:51:06.815997,,
Apartment for Sale in Guduvancherry Chennai,₹37.1 Lac,714 sqft,https://www.magicbricks.com/shriram-shankari-guduvancherry-chennai-pdpid-4d4235303138313536,1,15,2025-08-10 15:51:06.819469,,
3 BHK Apartment for Sale in East Coast Road Chennai,₹1.15 Cr,1539 sqft,https://www.magicbricks.com/vgn-coasta-east-coast-road-chennai-pdpid-4d4235303731313638,1,25,2025-08-10 15:51:06.825737,,
3 BHK Apartment for Sale in Ambattur Chennai,₹1.25 Cr,1317 sqft,https://www.magicbricks.com/vgn-stafford-ambattur-chennai-pdpid-4d4235303236343735,1,27,2025-08-10 15:51:06.827399,,
2 BHK Apartment for Sale in Telephone Nagar Chennai,₹80 Lac,958 sqft,https://www.magicbricks.com/urban-tree-atrium-telephone-nagar-chennai-pdpid-4d4235303137303037,2,2,2025-08-10 15:51:11.797795,,
2 BHK Apartment for Sale in Keelkattalai Chennai,₹72.2 Lac,903 sqft,https://www.magicbricks.com/ambal-nagar-keelkattalai-chennai-pdpid-4d4235323931373531,2,4,2025-08-10 15:51:11.798961,,
3 BHK Apartment for Sale in Adyar Chennai,₹3.90 Cr,1800 sqft,https://www.magicbricks.com/olympia-jayanthi-residences-adyar-chennai-pdpid-4d4235313035333133,2,5,2025-08-10 15:51:11.799585,,
3 BHK Apartment for Sale in Korattur Chennai,₹86 Lac,1200 sqft,https://www.magicbricks.com/alliance-orchid-springs-korattur-chennai-pdpid-4d4235303236303132,2,7,2025-08-10 15:51:11.800810,,
2 BHK Apartment for Sale in Sholinganallur Chennai,₹1.39 Cr,1100 sqft,https://www.magicbricks.com/prestige-courtyards-sholinganallur-chennai-pdpid-4d4235313136343235,2,9,2025-08-10 15:51:11.802328,,
2 BHK Builder Floor for Sale in Perungudi Chennai,₹82 Lac,900 sqft,https://www.magicbricks.com/jbm-mudra-perungudi-chennai-pdpid-4d4235303236393131,2,10,2025-08-10 15:51:11.803067,,
3 BHK Apartment for Sale in Poonamallee Chennai,₹58 Lac,1052 sqft,https://www.magicbricks.com/kg-centre-point-poonamallee-chennai-pdpid-4d4235303231323538,2,11,2025-08-10 15:51:11.803666,,
2 BHK Apartment for Sale in Adyar Chennai,₹1.50 Cr,850 sqft,https://www.magicbricks.com/dev-karumari-adyar-chennai-pdpid-4d4235303432393535,2,14,2025-08-10 15:51:11.805221,,
3 BHK Villa for Sale in Perumbakkam Chennai,₹1.47 Cr,1700 sqft,https://www.magicbricks.com/malles-akankssha-perumbakkam-chennai-pdpid-4d4235303931383533,2,15,2025-08-10 15:51:11.805763,,
2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,₹99 Lac,960 sqft,https://www.magicbricks.com/vgn-minerva-mogappair-west-ambattur-industrial-estate-chennai-pdpid-4d4235303330323433,2,18,2025-08-10 15:51:11.807455,,
4 BHK Apartment for Sale in Koyambedu Chennai,₹7 Cr,2982 sqft,https://www.magicbricks.com/crown-residences-koyambedu-chennai-pdpid-4d4235333933333233,2,22,2025-08-10 15:51:11.809881,,
2 BHK Apartment for Sale in Korattur Chennai,₹80 Lac,829 sqft,https://www.magicbricks.com/alliance-orchid-springs-korattur-chennai-pdpid-4d4235303236303132,2,27,2025-08-10 15:51:11.812817,,
2 BHK Apartment for Sale in Pammal Chennai,₹90 Lac,1237 sqft,https://www.magicbricks.com/appaswamy-the-bloomingdale-pammal-chennai-pdpid-4d4235303432303630,2,28,2025-08-10 15:51:11.813390,,
2 BHK Apartment for Sale in Ayanambakkam Chennai,₹72 Lac,688 sqft,https://www.magicbricks.com/charan-enclave-ayanambakkam-chennai-pdpid-4d4235333234323937,2,30,2025-08-10 15:51:11.815237,,
