title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
4 BHK Builder Floor for Sale in Block Q South City 1 Gurgaon,1.30 Cr,Resale,,1,28,2025-08-13 10:20:02.124240,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,4 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
4 BHK House for Sale in Block Q South City 1 Gurgaon,64.6 Lac,60 sqyrd,,1,29,2025-08-13 10:20:02.126545,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
4 BHK House for Sale in Block Q South City 1 Gurgaon,64.6 Lac,60 sqyrd,,1,30,2025-08-13 10:20:02.128816,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
6 BHK House for Sale in Pratap Nagar Gurgaon,1.29 Cr,120 sqyrd,,2,1,2025-08-13 10:20:07.592369,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,6 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
6 BHK House for Sale in Pratap Nagar Gurgaon,3 Cr,2514 sqft,,2,2,2025-08-13 10:20:07.594666,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,6 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
4 BHK House for Sale in Pratap Nagar Gurgaon,1.44 Cr,136 sqft,,2,3,2025-08-13 10:20:07.597208,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
2 BHK Villa for Sale in Pratap Nagar Gurgaon,1.22 Cr,95 sqyrd,,2,4,2025-08-13 10:20:07.600004,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,2 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
"Plot/Land for Sale in Begumpur Khatola, Sector 74 Gurgaon",21.8 Lac,1305 sqft,,2,5,2025-08-13 10:20:07.602206,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
"2 BHK Apartment for Sale in Behrampur Village, Sector 71, Sohna Road Gurgaon",73.8 Lac,1198 sqft,https://www.magicbricks.com/chd-avenue-71-behrampur-village-gurgaon-pdpid-4d4235303233303330,2,6,2025-08-13 10:20:07.603340,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,,,CHD Avenue 71,Ready to Move,,,,Resale,,72.7,[],True
"3 BHK Apartment for Sale in Behrampur Village, Sector 71, Sohna Road Gurgaon",1.11 Cr,1802 sqft,https://www.magicbricks.com/chd-avenue-71-behrampur-village-gurgaon-pdpid-4d4235303233303330,2,7,2025-08-13 10:20:07.604536,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Unfurnished,,,CHD Avenue 71,Ready to Move,,,,Resale,,72.7,[],True
"4 BHK Apartment for Sale in Behrampur Village, Sector 71, Sohna Road Gurgaon",1.35 Cr,2193 sqft,https://www.magicbricks.com/chd-avenue-71-behrampur-village-gurgaon-pdpid-4d4235303233303330,2,8,2025-08-13 10:20:07.605681,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,4 BHK,Semi-Furnished,,,CHD Avenue 71,Ready to Move,,,,Resale,,72.7,[],True
2 BHK Apartment for Sale in Rail Vihar Sector 56 Gurgaon,26.9 Lac,650 sqft,,2,9,2025-08-13 10:20:07.607946,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
2 BHK Apartment for Sale in Rail Vihar Sector 56 Gurgaon,25.8 Lac,650 sqft,,2,10,2025-08-13 10:20:07.610604,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Furnished,,,,,,,,Resale,,59.1,[],True
4 BHK Apartment for Sale in Rail Vihar Sector 56 Gurgaon,66.4 Lac,1850 sqft,https://www.magicbricks.com/rail-vihar-rail-vihar-gurgaon-pdpid-4d4235313732313131,2,11,2025-08-13 10:20:07.612266,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,4 BHK,Semi-Furnished,,,Rail Vihar,Ready to Move,,,,Resale,,72.7,[],True
4 BHK Apartment for Sale in Rail Vihar Sector 56 Gurgaon,64.6 Lac,1800 sqft,,2,12,2025-08-13 10:20:07.614853,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,4 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
"2 BHK Apartment for Sale in Tikri, Sector 48, Sohna Road Gurgaon",84.7 Lac,850 sqft,https://www.magicbricks.com/vipul-world-floors-tikri-gurgaon-pdpid-4d4235313639393431,2,13,2025-08-13 10:20:07.616044,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,Carpet Area850 sqftStatusReady to MoveTransactionResaleFurnishingSemi-FurnishedSocietyVipul World FloorsBathroom2,,Vipul World Floors,Ready to Move,,,,Resale,,77.3,[],True
3 BHK Villa for Sale in Surya Vihar Sector 21 Gurgaon,2.59 Cr,1815 sqft,,2,14,2025-08-13 10:20:07.618537,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
3 BHK Apartment for Sale in Surya Vihar Sector 21 Gurgaon,58.9 Lac,1640 sqft,,2,15,2025-08-13 10:20:07.620884,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
