title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
3 BHK Apartment for Sale in Sector 76 Noida,₹2.05 Cr,1455 sqft,https://www.magicbricks.com/skytech-matrott-sector-76-noida-pdpid-4d4235303137393933,1,1,2025-08-10 18:29:43.589015,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Sector 43 Noida,₹3.50 Cr,1545 sqft,https://www.magicbricks.com/godrej-woods-sector-43-noida-pdpid-4d4235323330313731,1,2,2025-08-10 18:29:43.589544,Updated 15 hours ago,2025-08-10 03:29:43.589530
"3 BHK Apartment for Sale in Sector 134, Noida Express Way Noida",₹1.05 Cr,1280 sqft,https://www.magicbricks.com/jaypee-kosmos-heights-sector-134-noida-pdpid-4d4235303130313235,1,6,2025-08-10 18:29:43.592232,Updated 13 hours ago,2025-08-10 05:29:43.592201
3 BHK Apartment for Sale in Sector 46 Noida,₹1.50 Cr,1750 sqft,https://www.magicbricks.com/gardenia-glory-sector-46-noida-pdpid-4d4235303030393535,1,7,2025-08-10 18:29:43.592837,Updated 13 hours ago,2025-08-10 05:29:43.592828
3 BHK Apartment for Sale in Sector 75 Noida,₹1.90 Cr,1750 sqft,https://www.magicbricks.com/aims-max-gardenia-golf-city-sector-75-noida-pdpid-4d4235303039383531,1,8,2025-08-10 18:29:43.593515,Updated 13 hours ago,2025-08-10 05:29:43.593505
"2 BHK Apartment for Sale in Sector 79, Dadri Road Noida",₹1.95 Cr,1385 sqft,https://www.magicbricks.com/elite-golf-greens-sector-79-noida-pdpid-4d4235303938343635,1,9,2025-08-10 18:29:43.594090,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Sector 76 Noida,₹94 Lac,567 sqft,https://www.magicbricks.com/sethi-max-royal-sector-76-noida-pdpid-4d4235303130333836,1,10,2025-08-10 18:29:43.594684,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Prateek Wisteria Noida,₹1.80 Cr,1385 sqft,https://www.magicbricks.com/prateek-wisteria-sector-77-noida-pdpid-4d4235303139353038,1,12,2025-08-10 18:29:43.596029,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Noida Extension Noida,₹1.15 Cr,1100 sqft,https://www.magicbricks.com/nirala-aspire-noida-extension-noida-pdpid-4d4235303639393936,1,13,2025-08-10 18:29:43.596551,Updated today,2025-08-10 12:00:00.000000
"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.58 Cr,827 sqft,https://www.magicbricks.com/eldeco-live-by-the-greens-sector-150-noida-pdpid-4d4235313139363239,1,14,2025-08-10 18:29:43.597205,Updated today,2025-08-10 12:00:00.000000
"4 BHK Apartment for Sale in Sector 151, Noida Express Way Noida",₹1.80 Cr,1855 sqft,https://www.magicbricks.com/jaypee-aman-sector-151-noida-pdpid-4d4235303231353036,1,15,2025-08-10 18:29:43.597956,Updated today,2025-08-10 12:00:00.000000
1 BHK Apartment for Sale in Sector 74 Noida,₹44 Lac,535 sqft,https://www.magicbricks.com/supertech-capetown-sector-74-noida-pdpid-4d4235303137353133,1,16,2025-08-10 18:29:43.598520,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Sector 70 Noida,₹1.75 Cr,1564 sqft,https://www.magicbricks.com/pan-oasis-sector-70-noida-pdpid-4d4235303636303633,1,17,2025-08-10 18:29:43.599128,Updated 13 hours ago,2025-08-10 05:29:43.599114
3 BHK Apartment for Sale in Sector 52 Noida,₹3.25 Cr,2245 sqft,https://www.magicbricks.com/antriksh-nature-sector-52-noida-pdpid-4d4235303039393139,1,21,2025-08-10 18:29:43.601515,Updated 13 hours ago,2025-08-10 05:29:43.601504
"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹4.14 Cr,2000 sqft,https://www.magicbricks.com/ats-pristine-sector-150-noida-pdpid-4d4235303233353335,1,22,2025-08-10 18:29:43.602055,Updated 13 hours ago,2025-08-10 05:29:43.602048
3 BHK Apartment for Sale in Noida Extension Noida,₹1.75 Cr,1565 sqft,https://www.magicbricks.com/ace-divino-noida-extension-noida-pdpid-4d4235303835303737,1,27,2025-08-10 18:29:43.605151,Posted:   18 hours ago,2025-08-10 00:29:43.605129
3 BHK Apartment for Sale in Sector 115 Noida,₹3.45 Cr,2304 sqft,https://www.magicbricks.com/ivory-county-sector-115-noida-pdpid-4d4235343137313831,1,28,2025-08-10 18:29:43.605703,Posted:   4 hours ago,2025-08-10 14:29:43.605695
"4 BHK Apartment for Sale in Sector 137, Noida Express Way Noida",₹3.40 Cr,1950 sqft,https://www.magicbricks.com/purvanchal-royal-park-sector-137-noida-pdpid-4d4235303139333236,2,2,2025-08-10 18:29:46.809279,Posted: 1 hour ago,2025-08-10 17:29:46.809242
2 BHK Apartment for Sale in Sector 76 Noida,₹1.03 Cr,940 sqft,https://www.magicbricks.com/sethi-max-royal-sector-76-noida-pdpid-4d4235303130333836,2,3,2025-08-10 18:29:46.809922,Updated yesterday,2025-08-09 12:00:00.000000
2 BHK Apartment for Sale in Noida Extension Noida,₹78 Lac,1140 sqft,https://www.magicbricks.com/ajnara-homes-noida-extension-noida-pdpid-4d4235303030393235,2,6,2025-08-10 18:29:46.811654,Updated yesterday,2025-08-09 12:00:00.000000
3 BHK Apartment for Sale in Sector 74 Noida,₹1.50 Cr,1405 sqft,https://www.magicbricks.com/supertech-capetown-sector-74-noida-pdpid-4d4235303137353133,2,7,2025-08-10 18:29:46.812227,Updated yesterday,2025-08-09 12:00:00.000000
2 BHK Apartment for Sale in Sector 78 Noida,₹1.10 Cr,1190 sqft,https://www.magicbricks.com/antriksh-golf-view-ii-sector-78-noida-pdpid-4d4235303235303730,2,9,2025-08-10 18:29:46.813224,Updated yesterday,2025-08-09 12:00:00.000000
2 BHK Apartment for Sale in Sector 77 Noida,₹1.05 Cr,1170 sqft,https://www.magicbricks.com/antriksh-kanball-3g-sector-77-noida-pdpid-4d4235303031313936,2,10,2025-08-10 18:29:46.813720,Updated yesterday,2025-08-09 12:00:00.000000
3 BHK Apartment for Sale in Noida Extension Noida,₹1 Cr,1160 sqft,https://www.magicbricks.com/antriksh-valley-noida-extension-noida-pdpid-4d4235303031313738,2,12,2025-08-10 18:29:46.815070,Updated yesterday,2025-08-09 12:00:00.000000
2 BHK Apartment for Sale in Sector 75 Noida,₹1.42 Cr,1040 sqft,https://www.magicbricks.com/maxblis-white-house-sector-75-noida-pdpid-4d4235303230353039,2,13,2025-08-10 18:29:46.815741,Updated yesterday,2025-08-09 12:00:00.000000
4 BHK Apartment for Sale in Sector 43 Noida,₹4.50 Cr,2600 sqft,https://www.magicbricks.com/godrej-woods-sector-43-noida-pdpid-4d4235323330313731,2,14,2025-08-10 18:29:46.816360,Updated yesterday,2025-08-09 12:00:00.000000
3 BHK Apartment for Sale in Sector 121 Noida,₹2.80 Cr,1520 sqft,https://www.magicbricks.com/cleo-county-sector-121-noida-pdpid-4d4235303139303230,2,15,2025-08-10 18:29:46.817101,Updated yesterday,2025-08-09 12:00:00.000000
"3 BHK Apartment for Sale in Sector 168, Noida Express Way Noida",₹1.07 Cr,1415 sqft,https://www.magicbricks.com/the-3c-lotus-zing-sector-168-noida-pdpid-4d4235303031323931,2,16,2025-08-10 18:29:46.817689,Updated yesterday,2025-08-09 12:00:00.000000
"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹2.55 Cr,2062 sqft,https://www.magicbricks.com/godrej-nest-sector-150-noida-pdpid-4d4235313039383631,2,18,2025-08-10 18:29:46.818855,Updated yesterday,2025-08-09 12:00:00.000000
3 BHK Apartment for Sale in Sector 78 Noida,₹4.25 Cr,2400 sqft,https://www.magicbricks.com/mahagun-mezzaria-sector-78-noida-pdpid-4d4235303230373435,2,19,2025-08-10 18:29:46.819475,Updated yesterday,2025-08-09 12:00:00.000000
3 BHK Apartment for Sale in Vasna Road Noida,₹1.15 Cr,2350 sqft,https://www.magicbricks.com/antriksh-it-residency-vasna-road-noida-pdpid-4d4235303039393135,2,20,2025-08-10 18:29:46.820128,Updated yesterday,2025-08-09 12:00:00.000000
"2 BHK Apartment for Sale in Sector 133, Noida Express Way Noida",₹68 Lac,1305 sqft,https://www.magicbricks.com/jaypee-greens-garden-isles-sector-133-noida-pdpid-4d4235303235363637,2,21,2025-08-10 18:29:46.820796,Updated yesterday,2025-08-09 12:00:00.000000
1 BHK Apartment for Sale in Noida Extension Noida,₹38 Lac,410 sqft,https://www.magicbricks.com/habitech-panchtatva-noida-extension-noida-pdpid-4d4235303139303039,2,23,2025-08-10 18:29:46.822030,Updated yesterday,2025-08-09 12:00:00.000000
3 BHK Apartment for Sale in Noida Extension Noida,₹1.28 Cr,1340 sqft,https://www.magicbricks.com/saya-zion-noida-extension-noida-pdpid-4d4235303138343738,2,24,2025-08-10 18:29:46.822665,Updated yesterday,2025-08-09 12:00:00.000000
"4 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹3.60 Cr,2700 sqft,https://www.magicbricks.com/godrej-nest-sector-150-noida-pdpid-4d4235313039383631,2,25,2025-08-10 18:29:46.823265,Updated yesterday,2025-08-09 12:00:00.000000
"3 BHK Apartment for Sale in Sector 152, Noida Express Way Noida",₹2.75 Cr,2350 sqft,https://www.magicbricks.com/ats-picturesque-reprieves-sector-152-noida-pdpid-4d4235303935323731,2,26,2025-08-10 18:29:46.823892,Updated yesterday,2025-08-09 12:00:00.000000
"3 BHK House for Sale in Sector 135, Noida Express Way Noida",₹25 Lac,963 sqft,https://www.magicbricks.com/dkrrish-green-beauty-farms-sector-135-noida-pdpid-4d4235303232373436,2,27,2025-08-10 18:29:46.824421,Updated yesterday,2025-08-09 12:00:00.000000
"3 BHK Apartment for Sale in Sector 134, Noida Express Way Noida",₹1.20 Cr,1365 sqft,https://www.magicbricks.com/jaypee-green-kosmos-phase-2-sector-134-noida-pdpid-4d4235323839313335,2,28,2025-08-10 18:29:46.824949,Updated yesterday,2025-08-09 12:00:00.000000
"2 BHK Apartment for Sale in Sector 137, Noida Express Way Noida",₹1.60 Cr,1250 sqft,https://www.magicbricks.com/exotica-fresco-sector-137-noida-pdpid-4d4235303232333833,2,29,2025-08-10 18:29:46.825591,Updated yesterday,2025-08-09 12:00:00.000000
