title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
2 BHK Apartment for Sale in Chakan Pune,₹26 Lac,850 sqft,https://www.magicbricks.com/vastu-neket-rps-township-chakan-pune-pdpid-4d4235303438313035,1,3,2025-08-10 15:50:25.439287,,
2 BHK  House for Sale in Kesnand Road Pune,₹83 Lac,1600 sqft,https://www.magicbricks.com/prayag-dham-kesnand-road-pune-pdpid-4d4235303035353332,1,4,2025-08-10 15:50:25.440011,,
2 BHK Apartment for Sale in Loni Kalbhor Pune,₹50 Lac,820 sqft,https://www.magicbricks.com/tara-city-loni-kalbhor-pune-pdpid-4d4235303138333234,1,6,2025-08-10 15:50:25.440974,,
2 BHK Apartment for Sale in Moshi Pune,₹47.1 Lac,650 sqft,https://www.magicbricks.com/11k-county-moshi-pune-pdpid-4d4235303233363335,1,9,2025-08-10 15:50:25.442594,,
2 BHK Apartment for Sale in Hadapsar Pune,₹55 Lac,1100 sqft,https://www.magicbricks.com/kohinoor-ambrosia-flat-hadapsar-pune-pdpid-4d4235333634323537,1,10,2025-08-10 15:50:25.443105,,
2 BHK Apartment for Sale in NIBM Annexe Area Pune,₹62 Lac,900 sqft,https://www.magicbricks.com/vasupujya-neco-beaumont-nibm-annexe-pune-pdpid-4d4235313933313637,1,11,2025-08-10 15:50:25.443607,,
3 BHK Apartment for Sale in Ghotawade Phata Pune,₹75 Lac,900 sqft,https://www.magicbricks.com/nakshatra-angan-ghotawade-phata-pune-pdpid-4d4235303733373137,1,12,2025-08-10 15:50:25.444143,,
1 BHK Apartment for Sale in Manjari Khurd Pune,₹50 Lac,428 sqft,https://www.magicbricks.com/vtp-cygnus-manjari-khurd-pune-pdpid-4d4235333435393733,1,13,2025-08-10 15:50:25.444692,,
1 BHK Apartment for Sale in Wagholi Pune,₹32 Lac,490 sqft,https://www.magicbricks.com/sukhwani-scarlet-wagholi-pune-pdpid-4d4235303032333131,1,14,2025-08-10 15:50:25.445184,,
1 BHK Apartment for Sale in Charholi BK Pune,₹30.3 Lac,495 sqft,https://www.magicbricks.com/tanish-orchid-phase-ii-charholi-budruk-pune-pdpid-4d4235303835313835,1,15,2025-08-10 15:50:25.445945,,
2 BHK Apartment for Sale in Rahatani Pune,₹75 Lac,750 sqft,https://www.magicbricks.com/divine-dew-rahatni-pune-pdpid-4d4235313138343939,1,17,2025-08-10 15:50:25.446924,,
3 BHK Apartment for Sale in Tingre Nagar Pune,₹1.50 Cr,1200 sqft,https://www.magicbricks.com/mantra-29-gold-coast-tingre-nagar-pune-pdpid-4d4235303836343534,1,19,2025-08-10 15:50:25.448017,,
1 BHK Apartment for Sale in NIBM Annexe Area Pune,₹41.5 Lac,573 sqft,https://www.magicbricks.com/gagan-arena-nibm-annexe-pune-pdpid-4d4235303232323833,1,21,2025-08-10 15:50:25.449102,,
Studio Apartment for Sale in Garade Pune,₹2.70 Cr,450 sqft,https://www.magicbricks.com/healing-touch-in-eden-gardens-garade-pune-pdpid-4d4235303232333639,1,23,2025-08-10 15:50:25.450186,,
2 BHK Apartment for Sale in Kharadi Pune,₹1.15 Cr,785 sqft,https://www.magicbricks.com/vilas-javdekar-yashwin-orizzonte-kharadi-pune-pdpid-4d4235313838393832,1,25,2025-08-10 15:50:25.451474,,
2 BHK Apartment for Sale in Undri Pune,₹75 Lac,890 sqft,https://www.magicbricks.com/marimagnum-mi-casa-undri-pune-pdpid-4d4235303339313132,1,26,2025-08-10 15:50:25.452845,,
2 BHK Apartment for Sale in Mhalunge Nande Road Pune,₹85 Lac,600 sqft,https://www.magicbricks.com/vtp-belair-e-and-f-building-mhalunge-nande-road-pune-pdpid-4d4235333439363833,1,27,2025-08-10 15:50:25.453394,,
2 BHK Apartment for Sale in Talegaon Dabhade Pune,₹30.5 Lac,415 sqft,https://www.magicbricks.com/xrbia-riverfront-talegaon-dabhade-pune-pdpid-4d4235303931333234,1,28,2025-08-10 15:50:25.453880,,
"3 BHK Apartment for Sale in Punawale, Pimpri Chinchwad Pune",₹1.25 Cr,1007 sqft,https://www.magicbricks.com/tulip-infinity-world-punawale-pune-pdpid-4d4235313234353937,1,29,2025-08-10 15:50:25.454645,,
2 BHK Apartment for Sale in Patil Nagar Bavdhan Pune,₹1.15 Cr,789 sqft,https://www.magicbricks.com/abhinav-pebbles-urbania-patil-nagar-bavdhan-pune-pdpid-4d4235303139323230,1,30,2025-08-10 15:50:25.455210,,
