title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
1 BHK Apartment for Sale in Kargil Nagar Mumbai,8.5 Lac,315 sqft,https://www.magicbricks.com/shree-ganesh-apartment-kargil-nagar-mumbai-pdpid-4d4235323131303431,1,1,2025-08-12 11:50:09.211492,Updated today,2025-08-12 12:00:00,1,,1 BHK,Unfurnished,4 out of 4,,Shree Ganesh Apartment,Ready to Move,East,,Freehold,Resale,Main Road,100.0,[],True
1 BHK Apartment for Sale in Jogeshwari East Mumbai,1.25 Cr,475 sqft,https://www.magicbricks.com/govardhan-complex-jogeshwari-east-mumbai-pdpid-4d4235313531353831,1,4,2025-08-12 11:50:09.214681,Updated today,2025-08-12 12:00:00,2,,1 BHK,Unfurnished,5 out of 7,,Govardhan Complex,Ready to Move,East,,Freehold,Resale,Main Road,100.0,[],True
1 BHK Apartment for Sale in Dahisar West Mumbai,1.20 Cr,495 sqft,https://www.magicbricks.com/gurukul-tower-dahisar-west-mumbai-pdpid-4d4235313038373639,1,7,2025-08-12 11:50:09.217332,Updated today,2025-08-12 12:00:00,1,,1 BHK,Unfurnished,18 out of 20,,Gurukul Tower,Ready to Move,East,1 Open,,Resale,"Garden/Park, Main Road",100.0,[],True
2 BHK Apartment for Sale in Malad West Mumbai,2.80 Cr,755 sqft,https://www.magicbricks.com/raj-infinia-malad-west-mumbai-pdpid-4d4235303139313930,1,13,2025-08-12 11:50:09.224275,Updated today,2025-08-12 12:00:00,2,,2 BHK,Semi-Furnished,2 out of 21,,Raj Infinia,Ready to Move,East,,Freehold,New Property,Main Road,100.0,[],True
2 BHK Apartment for Sale in Marol Mumbai,2.75 Cr,802 sqft,https://www.magicbricks.com/sheth-vasant-oasis-marol-mumbai-pdpid-4d4235303138333637,1,14,2025-08-12 11:50:09.226503,Updated today,2025-08-12 12:00:00,2,1,2 BHK,Semi-Furnished,16 out of 20,,Sheth Vasant Oasis,Ready to Move,North - East,1 Covered,Co-operative Society,Resale,"Garden/Park, Main Road",110.5,[],True
2 BHK Apartment for Sale in Powai Mumbai,2.55 Cr,671 sqft,https://www.magicbricks.com/shapoorji-pallonji-vicinia-powai-mumbai-pdpid-4d4235323333353437,1,15,2025-08-12 11:50:09.230004,Updated today,2025-08-12 12:00:00,2,1,2 BHK,Unfurnished,22 out of 22,,Shapoorji Pallonji Vicinia,Ready to Move,West,1 Covered,Co-operative Society,New Property,Main Road,110.5,[],True
2 BHK Apartment for Sale in Shell Colony Mumbai,2.35 Cr,699 sqft,https://www.magicbricks.com/godrej-prime-shell-colony-mumbai-pdpid-4d4235303832373339,1,16,2025-08-12 11:50:09.233004,Updated today,2025-08-12 12:00:00,2,,2 BHK,Furnished,5 out of 15,,Godrej Prime,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Mulund West Mumbai,50 Lac,187 sqft,https://www.magicbricks.com/kothari-apartment-mulund-west-mumbai-pdpid-4d4235323235373131,1,18,2025-08-12 11:50:09.238638,Posted: Yesterday,2025-08-11 12:00:00,1,,1 BHK,Semi-Furnished,3 out of 3,,Kothari Apartment,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Sion East Mumbai,2.25 Cr,720 sqft,https://www.magicbricks.com/kartar-bhavan-sion-east-mumbai-pdpid-4d4235323235333439,1,19,2025-08-12 11:50:09.241859,Posted: Yesterday,2025-08-11 12:00:00,1,,1 BHK,Furnished,4 out of 5,,Kartar Bhavan,Ready to Move,,,,Resale,,84.2,[],True
1 BHK Apartment for Sale in Chandivali Mumbai,1 Cr,403 sqft,https://www.magicbricks.com/paradise-raheja-vihar-chandivali-mumbai-pdpid-4d4235323133323039,1,20,2025-08-12 11:50:09.244171,Posted: Yesterday,2025-08-11 12:00:00,1,,1 BHK,Semi-Furnished,Ground out of 7,,paradise raheja vihar,Ready to Move,,,,Resale,,84.2,[],True
